rep_airp,country,icao,airport_name,municipality,latitude_deg,longitude_deg,coord_match,nuts2,crosswalk_method,distance_deg
AT_LOWG,AT,LOWG,Graz Airport,Feldkirchen bei Graz,46.9911,15.4396,matched,AT22,contains,0.0
AT_LOWI,AT,LOWI,Innsbruck Airport,Innsbruck,47.260201,11.344,matched,AT33,contains,0.0
AT_LOWK,AT,LOWK,Klagenfurt Airport,Klagenfurt am Wörthersee,46.642502,14.3377,matched,AT21,contains,0.0
AT_LOWL,AT,LOWL,Linz-Hörsching Airport,Linz,48.235362,14.188128,matched,AT31,contains,0.0
AT_LOWS,AT,LOWS,Salzburg Airport,Salzburg,47.793301,13.0043,matched,AT32,contains,0.0
AT_LOWW,AT,LOWW,Vienna International Airport,Vienna,48.110298,16.5697,matched,AT12,contains,0.0
BE_EBAW,BE,EBAW,Antwerp International Airport (Deurne),Antwerp,51.190667,4.463153,matched,BE21,contains,0.0
BE_EBBR,BE,EBBR,Brussels Airport,Zaventem,50.901402,4.48444,matched,BE24,contains,0.0
BE_EBCI,BE,EBCI,Brussels South Charleroi Airport,Charleroi,50.461963,4.459562,matched,BE32,contains,0.0
BE_EBLG,BE,EBLG,Liège Airport,Grâce-Hollogne,50.638574,5.443897,matched,BE33,contains,0.0
BE_EBOS,BE,EBOS,Ostend-Bruges International Airport,Oostende,51.1998,2.874673,matched,BE25,contains,0.0
BG_LBBG,BG,LBBG,Burgas Airport,Burgas,42.569917,27.515173,matched,BG34,contains,0.0
BG_LBPD,BG,LBPD,Plovdiv International Airport,Plovdiv,42.067799,24.8508,matched,BG42,contains,0.0
BG_LBSF,BG,LBSF,Sofia Airport,Sofia,42.696357,23.417671,matched,BG41,contains,0.0
BG_LBWN,BG,LBWN,Varna Airport,Varna,43.232101,27.8251,matched,BG33,contains,0.0
CY_LCLK,CY,LCLK,Larnaca International Airport,Larnaca,34.875099,33.624901,matched,CY00,contains,0.0
CY_LCPH,CY,LCPH,Paphos International Airport,Paphos,34.717999,32.485699,matched,CY00,contains,0.0
CZ_LKCS,CZ,LKCS,České Budějovice South Bohemian Airport,České Budějovice,48.948171,14.42832,matched,CZ03,contains,0.0
CZ_LKKV,CZ,LKKV,Karlovy Vary Airport,Karlovy Vary,50.202999,12.915,matched,CZ04,contains,0.0
CZ_LKMT,CZ,LKMT,Leoš Janáček Airport Ostrava,Mošnov,49.696301,18.111099,matched,CZ08,contains,0.0
CZ_LKPD,CZ,LKPD,Pardubice Airport,Pardubice,50.015049,15.73981,matched,CZ05,contains,0.0
CZ_LKPR,CZ,LKPR,Václav Havel Airport Prague,Prague,50.100874,14.259911,matched,CZ01,contains,0.0
CZ_LKTB,CZ,LKTB,Brno-Tuřany Airport,Brno,49.151276,16.693972,matched,CZ06,contains,0.0
DE_EDDB,DE,EDDB,Berlin Brandenburg Airport,Berlin,52.361738,13.502341,matched,DE40,contains,0.0
DE_EDDC,DE,EDDC,Dresden Airport,Dresden,51.134123,13.767831,matched,DED2,contains,0.0
DE_EDDE,DE,EDDE,Erfurt-Weimar Airport,Erfurt,50.978281,10.960713,matched,DEG0,contains,0.0
DE_EDDF,DE,EDDF,Frankfurt Main Airport,Frankfurt am Main,50.026706,8.55835,matched,DE71,contains,0.0
DE_EDDG,DE,EDDG,Münster Osnabrück Airport,Greven,52.133816,7.688482,matched,DEA3,contains,0.0
DE_EDDH,DE,EDDH,Hamburg Helmut Schmidt Airport,Hamburg,53.630402,9.98823,matched,DE60,contains,0.0
DE_EDDI,DE,EDDI,,,,,unmatched,,,
DE_EDDK,DE,EDDK,Cologne Bonn Airport,Köln (Cologne),50.865898,7.14274,matched,DEA2,contains,0.0
DE_EDDL,DE,EDDL,Düsseldorf Airport,Düsseldorf,51.289501,6.76678,matched,DEA1,contains,0.0
DE_EDDM,DE,EDDM,Munich Airport,Munich,48.353802,11.7861,matched,DE21,contains,0.0
DE_EDDN,DE,EDDN,Nuremberg Airport,Nuremberg,49.498699,11.078056,matched,DE25,contains,0.0
DE_EDDP,DE,EDDP,Leipzig/Halle Airport,Schkeuditz,51.420657,12.232705,matched,DED5,contains,0.0
DE_EDDR,DE,EDDR,Saarbrücken Airport,Saarbrücken,49.217562,7.111667,matched,DEC0,contains,0.0
