geo,country,start,end,n_rows,n_rhpi,n_air,n_migr,n_unemp
BG31,BG,2015,2024,10,9,0,9,10
BG32,BG,2015,2024,10,9,0,9,10
BG33,BG,2015,2024,10,9,10,9,10
BG34,BG,2015,2024,10,9,10,9,10
BG41,BG,2015,2024,10,9,10,9,10
BG42,BG,2015,2024,10,9,0,9,10
ES11,ES,2007,2024,18,18,12,12,12
ES12,ES,2007,2024,18,18,12,12,12
ES13,ES,2007,2024,18,18,12,12,12
ES21,ES,2007,2024,18,18,12,12,12
ES22,ES,2007,2024,18,18,10,12,12
ES23,ES,2007,2024,18,18,0,12,12
ES24,ES,2007,2024,18,18,12,12,12
ES30,ES,2007,2024,18,18,12,12,12
ES41,ES,2007,2024,18,18,12,12,12
ES42,ES,2007,2024,18,18,0,12,12
ES43,ES,2007,2024,18,18,0,12,12
ES51,ES,2007,2024,18,18,12,12,12
ES52,ES,2007,2024,18,18,12,12,12
ES53,ES,2007,2024,18,18,12,12,12
ES61,ES,2007,2024,18,18,12,12,12
ES62,ES,2007,2024,18,18,12,12,12
ES63,ES,2007,2024,18,18,0,12,12
ES64,ES,2007,2024,18,18,12,12,12
ES70,ES,2007,2024,18,18,12,12,12
HR03,HR,2002,2024,23,22,12,6,12
HR05,HR,2002,2024,23,22,0,4,9
LT01,LT,2006,2024,19,18,12,11,12
LT02,LT,2006,2024,19,18,12,11,12
PL21,PL,2010,2024,15,14,12,12,12
PL22,PL,2010,2024,15,14,12,12,12
PL41,PL,2010,2024,15,14,12,12,12
PL42,PL,2010,2024,15,14,12,12,12
PL43,PL,2010,2024,15,14,0,12,7
PL51,PL,2010,2024,15,14,12,12,12
PL52,PL,2010,2024,15,14,0,12,12
PL61,PL,2010,2024,15,14,12,12,12
PL62,PL,2010,2024,15,14,4,12,12
PL63,PL,2010,2024,15,14,12,12,12
PL71,PL,2010,2024,15,14,12,11,12
PL72,PL,2010,2024,15,14,0,11,12
PL81,PL,2010,2024,15,14,0,11,12
PL82,PL,2010,2024,15,14,12,11,12
PL84,PL,2010,2024,15,14,0,11,12
PL92,PL,2010,2024,15,14,0,10,12
TR10,TR,2010,2024,15,14,2,11,12
TR21,TR,2010,2024,15,14,2,11,12
TR22,TR,2010,2024,15,14,2,11,12
TR31,TR,2010,2024,15,14,2,11,12
TR32,TR,2010,2024,15,14,2,11,12
TR33,TR,2010,2024,15,14,2,11,12
TR41,TR,2010,2024,15,14,2,11,12
TR42,TR,2010,2024,15,14,2,11,12
TR51,TR,2010,2024,15,14,2,11,12
TR52,TR,2010,2024,15,14,2,11,12
TR61,TR,2010,2024,15,14,2,11,12
TR62,TR,2010,2024,15,14,2,11,12
TR63,TR,2010,2024,15,14,2,11,12
TR90,TR,2010,2024,15,14,2,11,12
