geo,start,end,n_rows,n_hpi_index,n_air_passengers,n_hpi_yoy,n_air_yoy
AT,1993Q1,2025Q4,132,63,95,59,91
BE,1993Q1,2025Q4,132,83,99,79,91
BG,1993Q1,2025Q4,132,83,76,79,72
CY,1993Q1,2025Q4,132,83,91,79,87
CZ,1993Q1,2025Q4,132,71,95,67,91
DE,1993Q1,2025Q4,132,83,96,79,92
DK,1993Q1,2025Q4,132,83,92,79,88
EE,1993Q1,2025Q4,132,83,87,79,83
ES,1993Q1,2025Q4,132,80,104,76,100
FI,1993Q1,2025Q4,132,83,112,79,104
FR,1993Q1,2025Q4,132,83,94,79,90
HR,1993Q1,2025Q4,132,71,71,67,67
HU,1993Q1,2025Q4,132,75,96,71,92
IE,1993Q1,2025Q4,132,83,103,79,95
IS,1993Q1,2025Q4,132,83,92,79,88
IT,1993Q1,2025Q4,132,63,103,59,95
LT,1993Q1,2025Q4,132,79,88,75,84
LU,1993Q1,2025Q4,132,75,84,71,80
LV,1993Q1,2025Q4,132,79,88,75,84
MT,1993Q1,2025Q4,132,83,94,79,90
NL,1993Q1,2025Q4,132,83,104,79,100
NO,1993Q1,2025Q4,132,83,95,79,91
PL,1993Q1,2025Q4,132,63,87,59,83
PT,1993Q1,2025Q4,132,71,103,67,99
RO,1993Q1,2025Q4,132,67,95,63,91
SE,1993Q1,2025Q4,132,83,86,79,82
SI,1993Q1,2025Q4,132,75,88,71,84
SK,1993Q1,2025Q4,132,79,96,75,92
UK,1993Q1,2025Q4,132,63,76,59,68
