geo,origin,base_mean_od,base_total_dest,share_base
AT,DE,17437.5,79605.75,0.21904824714295135
AT,RO,5307.75,79605.75,0.066675460001319
AT,TR,5237.75,79605.75,0.06579612653608564
AT,PL,4840.0,79605.75,0.06079962816756327
AT,RS,3551.5,79605.75,0.04461361145394648
AT,HU,3400.75,79605.75,0.042719904027033226
AT,SK,3143.5,79605.75,0.03948835354230065
AT,BA,3000.0,79605.75,0.037685719938572275
AT,RU,2513.5,79605.75,0.03157435235520047
AT,HR,1761.75,79605.75,0.02213093903392657
AT,IT,1533.5,79605.75,0.01926368384193353
AT,US,1468.25,79605.75,0.018444019433269582
AT,BG,1421.25,79605.75,0.017853609820898616
AT,UK,1126.0,79605.75,0.014144706883610794
AT,CZ,1099.5,79605.75,0.01381181635748674
AT,CN,1068.25,79605.75,0.013419256774793277
AT,IR,1051.75,79605.75,0.01321198531513113
AT,CH,1007.25,79605.75,0.012652980469375642
AT,MK,936.75,79605.75,0.011767366050819194
AT,IN,860.5,79605.75,0.010809520669047149
AT,UA,846.5,79605.75,0.010633653976000478
AT,FR,842.0,79605.75,0.010577125396092618
AT,NG,786.75,79605.75,0.00988308005389058
AT,NL,777.25,79605.75,0.009763741940751768
AT,EG,663.0,79605.75,0.008328544106424474
AT,ES,654.25,79605.75,0.008218627423270303
AT,XK,641.0,79605.75,0.008052182160208277
AT,AF,599.0,79605.75,0.007524582081068264
AT,SI,543.75,79605.75,0.006830536738866225
AT,GE,493.25,79605.75,0.006196160453233592
AT,BR,439.25,79605.75,0.005517817494339291
AT,PH,432.25,79605.75,0.005429884147815956
AT,SE,398.0,79605.75,0.004999638845183922
AT,PK,387.25,79605.75,0.004864598348737371
AT,TH,343.75,79605.75,0.004318155409628073
AT,EL,309.0,79605.75,0.0038816291536729443
AT,AM,308.0,79605.75,0.0038690672470267536
AT,IQ,306.0,79605.75,0.003843943433734372
AT,JP,288.75,79605.75,0.0036272505440875817
AT,MN,288.75,79605.75,0.0036272505440875817
AT,CA,282.0,79605.75,0.003542457674225794
AT,AU,268.75,79605.75,0.0033760124111637665
AT,KR,261.5,79605.75,0.0032849385879788833
AT,BE,260.75,79605.75,0.0032755171579942404
AT,PT,257.0,79605.75,0.003228410008071025
AT,MD,239.25,79605.75,0.003005436165101139
AT,DO,219.25,79605.75,0.002754198032177324
AT,BY,218.5,79605.75,0.0027447766021926807
AT,IL,197.25,79605.75,0.0024778360859611273
AT,FI,192.5,79605.75,0.002418167029391721
AT,TN,180.0,79605.75,0.0022611431963143365
AT,AL,176.0,79605.75,0.0022108955697295735
AT,SY,174.0,79605.75,0.002185771756437192
AT,LT,165.0,79605.75,0.002072714596621475
AT,SO,153.5,79605.75,0.0019282526701902814
AT,ZA,149.25,79605.75,0.0018748645669439707
AT,DK,148.75,79605.75,0.0018685836136208753
AT,BD,148.25,79605.75,0.00186230266029778
AT,MX,142.75,79605.75,0.0017932121737437307
AT,IE,129.0,79605.75,0.0016204859573586078
AT,GH,126.0,79605.75,0.0015828002374200355
AT,DZ,125.25,79605.75,0.0015733788074353925
AT,MA,121.75,79605.75,0.0015294121341737248
AT,ET,117.0,79605.75,0.0014697430776043187
AT,GM,113.25,79605.75,0.0014226359276811034
AT,PE,96.0,79605.75,0.0012059430380343128
AT,LB,95.0,79605.75,0.001193381131388122
AT,AZ,94.0,79605.75,0.0011808192247419313
AT,LY,86.25,79605.75,0.001083464448233953
AT,VN,85.75,79605.75,0.0010771834949108575
AT,KE,84.75,79605.75,0.0010646215882646668
AT,CO,84.0,79605.75,0.0010552001582800237
AT,NO,81.0,79605.75,0.0010175144383414514
AT,ID,79.25,79605.75,0.0009955311017106176
AT,NP,78.5,79605.75,0.0009861096717259745
AT,AR,76.0,79605.75,0.0009547049051104976
AT,LU,70.75,79605.75,0.0008887548952179962
AT,LV,69.25,79605.75,0.00086991203524871
AT,CL,67.0,79605.75,0.0008416477452947808
AT,KG,65.0,79605.75,0.0008165239320023993
AT,CU,58.75,79605.75,0.000738012015463707
AT,CM,56.5,79605.75,0.0007097477255097778
AT,VE,55.75,79605.75,0.0007003262955251348
AT,TW,55.5,79605.75,0.0006971858188635871
AT,KZ,55.0,79605.75,0.0006909048655404917
AT,NZ,54.75,79605.75,0.000687764388878944
AT,SD,52.25,79605.75,0.0006563596222634671
AT,KH,50.25,79605.75,0.0006312358089710856
AT,ME,46.0,79605.75,0.0005778477057247749
AT,UZ,45.25,79605.75,0.0005684262757401318
AT,JO,43.25,79605.75,0.0005433024624477503
AT,LK,42.5,79605.75,0.0005338810324631072
AT,SA,42.0,79605.75,0.0005276000791400118
AT,LI,41.25,79605.75,0.0005181786491553688
AT,EC,41.0,79605.75,0.0005150381724938211
AT,GN,41.0,79605.75,0.0005150381724938211
AT,MY,40.5,79605.75,0.0005087572191707257
AT,EE,38.5,79605.75,0.0004836334058783442
AT,CD,38.25,79605.75,0.0004804929292167965
AT,LR,38.25,79605.75,0.0004804929292167965
AT,SL,36.0,79605.75,0.0004522286392628673
AT,SG,34.75,79605.75,0.00043652625595512885
AT,CG,34.0,79605.75,0.0004271048259704858
AT,AE,33.75,79605.75,0.0004239643493089381
AT,SN,29.5,79605.75,0.00037057624606262737
AT,UG,28.75,79605.75,0.0003611548160779843
AT,IS,26.5,79605.75,0.0003328905261240551
AT,GW,26.25,79605.75,0.0003297500494625074
AT,GT,24.75,79605.75,0.00031090718949322127
AT,PY,24.5,79605.75,0.0003077667128316736
AT,UY,24.5,79605.75,0.0003077667128316736
AT,BO,23.5,79605.75,0.0002952048061854828
AT,CY,22.25,79605.75,0.00027950242287774437
AT,CI,16.75,79605.75,0.0002104119363236952
AT,PS,16.5,79605.75,0.0002072714596621475
AT,HK,15.5,79605.75,0.00019470955301595675
AT,AO,15.25,79605.75,0.00019156907635440906
AT,ML,15.0,79605.75,0.00018842859969286137
AT,ZW,15.0,79605.75,0.00018842859969286137
AT,KP,14.75,79605.75,0.00018528812303131369
AT,MT,14.5,79605.75,0.000182147646369766
AT,TJ,14.5,79605.75,0.000182147646369766
AT,CR,13.75,79605.75,0.00017272621638512293
AT,TG,13.75,79605.75,0.00017272621638512293
AT,TZ,13.5,79605.75,0.00016958573972357524
AT,MC,13.25,79605.75,0.00016644526306202755
AT,NI,12.25,79605.75,0.0001538833564158368
AT,RW,11.75,79605.75,0.0001476024030927414
AT,BF,10.25,79605.75,0.00012875954312345527
AT,KW,10.0,79605.75,0.00012561906646190758
AT,ER,8.75,79605.75,0.00010991668315416914
AT,MU,8.0,79605.75,0.00010049525316952607
AT,JM,7.5,79605.75,9.421429984643069e-05
AT,TM,7.5,79605.75,9.421429984643069e-05
AT,YE,6.75,79605.75,8.479286986178762e-05
AT,MM,6.25,79605.75,7.851191653869224e-05
AT,PA,6.0,79605.75,7.537143987714455e-05
AT,BT,5.5,79605.75,6.909048655404917e-05
AT,HN,5.5,79605.75,6.909048655404917e-05
AT,DM,4.75,79605.75,5.96690565694061e-05
AT,NE,4.75,79605.75,5.96690565694061e-05
AT,ZM,4.75,79605.75,5.96690565694061e-05
AT,OM,4.5,79605.75,5.652857990785841e-05
AT,BS,4.25,79605.75,5.338810324631072e-05
AT,HT,4.25,79605.75,5.338810324631072e-05
AT,MR,4.25,79605.75,5.338810324631072e-05
AT,MZ,4.25,79605.75,5.338810324631072e-05
AT,BJ,3.75,79605.75,4.7107149923215344e-05
AT,SV,3.75,79605.75,4.7107149923215344e-05
AT,GA,3.5,79605.75,4.3966673261667654e-05
AT,MG,3.5,79605.75,4.3966673261667654e-05
AT,QA,3.5,79605.75,4.3966673261667654e-05
AT,SC,3.5,79605.75,4.3966673261667654e-05
AT,BI,3.0,79605.75,3.7685719938572275e-05
AT,MW,3.0,79605.75,3.7685719938572275e-05
AT,BH,2.75,79605.75,3.4545243277024585e-05
AT,TT,2.75,79605.75,3.4545243277024585e-05
AT,BZ,2.5,79605.75,3.1404766615476896e-05
AT,CV,2.5,79605.75,3.1404766615476896e-05
AT,LA,2.5,79605.75,3.1404766615476896e-05
AT,LC,2.5,79605.75,3.1404766615476896e-05
AT,BB,2.25,79605.75,2.8264289953929206e-05
AT,BW,2.25,79605.75,2.8264289953929206e-05
AT,CF,2.25,79605.75,2.8264289953929206e-05
AT,PG,1.5,79605.75,1.8842859969286137e-05
AT,TD,1.5,79605.75,1.8842859969286137e-05
AT,VU,1.5,79605.75,1.8842859969286137e-05
AT,FJ,1.25,79605.75,1.5702383307738448e-05
AT,GD,1.25,79605.75,1.5702383307738448e-05
AT,SB,1.25,79605.75,1.5702383307738448e-05
AT,AD,1.0,79605.75,1.2561906646190758e-05
AT,BN,1.0,79605.75,1.2561906646190758e-05
AT,GQ,1.0,79605.75,1.2561906646190758e-05
AT,GY,1.0,79605.75,1.2561906646190758e-05
AT,AG,0.75,79605.75,9.421429984643069e-06
AT,BM,0.75,79605.75,9.421429984643069e-06
AT,DJ,0.75,79605.75,9.421429984643069e-06
AT,GI,0.75,79605.75,9.421429984643069e-06
AT,KY,0.75,79605.75,9.421429984643069e-06
AT,MH,0.75,79605.75,9.421429984643069e-06
AT,MV,0.75,79605.75,9.421429984643069e-06
AT,PN,0.75,79605.75,9.421429984643069e-06
AT,SR,0.75,79605.75,9.421429984643069e-06
AT,LS,0.5,79605.75,6.280953323095379e-06
AT,MO,0.5,79605.75,6.280953323095379e-06
AT,SZ,0.5,79605.75,6.280953323095379e-06
AT,TO,0.5,79605.75,6.280953323095379e-06
AT,AN,0.25,79605.75,3.1404766615476896e-06
AT,AW,0.25,79605.75,3.1404766615476896e-06
AT,EH,0.25,79605.75,3.1404766615476896e-06
AT,SH,0.25,79605.75,3.1404766615476896e-06
AT,TV,0.25,79605.75,3.1404766615476896e-06
AT,VC,0.25,79605.75,3.1404766615476896e-06
AT,VG,0.25,79605.75,3.1404766615476896e-06
AT,WS,0.25,79605.75,3.1404766615476896e-06
BG,TR,999.0,1558.0,0.641206675224647
BG,EL,75.0,1558.0,0.04813863928112965
BG,US,73.0,1558.0,0.04685494223363286
BG,MK,47.0,1558.0,0.030166880616174584
BG,ES,34.0,1558.0,0.021822849807445442
BG,IT,33.0,1558.0,0.021181001283697046
BG,DE,32.0,1558.0,0.02053915275994865
BG,UK,25.0,1558.0,0.016046213093709884
BG,MD,24.0,1558.0,0.01540436456996149
BG,ZA,22.0,1558.0,0.014120667522464698
BG,RU,20.0,1558.0,0.012836970474967908
BG,CY,16.0,1558.0,0.010269576379974325
BG,CA,15.0,1558.0,0.009627727856225931
BG,IL,15.0,1558.0,0.009627727856225931
BG,RS,12.0,1558.0,0.007702182284980745
BG,UA,12.0,1558.0,0.007702182284980745
BG,FR,11.0,1558.0,0.007060333761232349
BG,BE,10.0,1558.0,0.006418485237483954
BG,LY,10.0,1558.0,0.006418485237483954
BG,AT,7.0,1558.0,0.004492939666238768
BG,LB,7.0,1558.0,0.004492939666238768
BG,CZ,6.0,1558.0,0.0038510911424903724
BG,AE,5.0,1558.0,0.003209242618741977
BG,AU,5.0,1558.0,0.003209242618741977
BG,NL,4.0,1558.0,0.0025673940949935813
BG,JO,3.0,1558.0,0.0019255455712451862
BG,NZ,3.0,1558.0,0.0019255455712451862
BG,BY,2.0,1558.0,0.0012836970474967907
BG,CN,2.0,1558.0,0.0012836970474967907
BG,IQ,2.0,1558.0,0.0012836970474967907
BG,MA,2.0,1558.0,0.0012836970474967907
BG,NO,2.0,1558.0,0.0012836970474967907
BG,SE,2.0,1558.0,0.0012836970474967907
BG,VE,2.0,1558.0,0.0012836970474967907
BG,AL,1.0,1558.0,0.0006418485237483953
BG,AM,1.0,1558.0,0.0006418485237483953
BG,CH,1.0,1558.0,0.0006418485237483953
BG,CU,1.0,1558.0,0.0006418485237483953
BG,DO,1.0,1558.0,0.0006418485237483953
BG,HU,1.0,1558.0,0.0006418485237483953
BG,IE,1.0,1558.0,0.0006418485237483953
BG,IR,1.0,1558.0,0.0006418485237483953
BG,JP,1.0,1558.0,0.0006418485237483953
BG,MG,1.0,1558.0,0.0006418485237483953
BG,MZ,1.0,1558.0,0.0006418485237483953
BG,NI,1.0,1558.0,0.0006418485237483953
BG,PL,1.0,1558.0,0.0006418485237483953
BG,PT,1.0,1558.0,0.0006418485237483953
BG,RO,1.0,1558.0,0.0006418485237483953
BG,SK,1.0,1558.0,0.0006418485237483953
BG,SY,1.0,1558.0,0.0006418485237483953
BG,TN,1.0,1558.0,0.0006418485237483953
BG,UZ,1.0,1558.0,0.0006418485237483953
CZ,UA,31288.666666666668,75737.5,0.41311987676734335
CZ,SK,10294.666666666666,75737.5,0.1359256202893767
CZ,VN,7900.0,75737.5,0.10430764152500413
CZ,RU,4851.666666666667,75737.5,0.06405897562854157
CZ,MD,2448.3333333333335,75737.5,0.03232656654013314
CZ,MN,1918.0,75737.5,0.025324310942399737
CZ,US,1646.3333333333333,75737.5,0.021737360400506132
CZ,PL,1504.0,75737.5,0.01985806238653243
CZ,DE,1403.3333333333333,75737.5,0.018528910161192715
CZ,CN,1054.0,75737.5,0.01391648786928536
CZ,BG,924.3333333333334,75737.5,0.01220443417505639
CZ,BY,841.0,75737.5,0.011104142597788413
CZ,KZ,604.3333333333334,75737.5,0.007979314518347363
CZ,RO,594.0,75737.5,0.007842878362766132
CZ,RS,532.0,75737.5,0.007024261429278759
