country,quarter,route_open_q,route_close_q,net_openings_q,route_open_persist_q,route_close_persist_q,net_openings_persist_q,open_rate_norm_q,close_rate_norm_q,open_persist_rate_norm_q,close_persist_rate_norm_q,opening_passenger_intensity_q,opening_persist_passenger_intensity_q,active_routes_q_mean,passengers_total_q_sum,period_str,geo
AT,2004Q1,73,3,70,71,0,71,0.04455662862159789,0.022168568920105356,0.03709394205443371,0.0,3.7100249495543736,3.0811281477461696,65.66666666666667,2554639.0,2004Q1,AT
AT,2004Q2,27,5,22,21,3,18,0.1378494623655914,0.025017921146953406,0.10656891495601173,0.014265232974910396,9.542821521402827,7.395225736392457,71.0,2988120.0,2004Q2,AT
AT,2004Q3,4,2,2,2,0,2,0.01852380549563648,0.009009009009009009,0.009389671361502348,0.0,1.2913493737953667,0.6412321917797239,71.66666666666667,3123846.0,2004Q3,AT
AT,2004Q4,2,12,-10,1,4,-3,0.012008281573498964,0.06455343756693083,0.0047619047619047615,0.02101806239737274,0.7166410090899041,0.31421907290919415,52.666666666666664,2662101.0,2004Q4,AT
AT,2005Q1,6,14,-8,4,2,2,0.03367739324023477,0.08022667476219389,0.021948998178506374,0.01163732038048978,2.3115433106487253,1.5353810808326054,62.0,2756723.0,2005Q1,AT
AT,2005Q2,11,8,3,7,5,2,0.05510489510489511,0.040108780108780114,0.03550893550893551,0.024724164724164725,3.666649866182439,2.342980496523832,70.0,3169825.0,2005Q2,AT
AT,2005Q3,5,5,0,2,1,1,0.024154589371980676,0.02395330112721417,0.00966183574879227,0.004830917874396135,1.52751055174622,0.6068539296522787,70.33333333333333,3337621.0,2005Q3,AT
AT,2005Q4,4,15,-11,3,5,-2,0.025170068027210887,0.08310657596371883,0.01836734693877551,0.029478458049886618,1.4266513816661293,1.049059781719898,55.666666666666664,2839587.0,2005Q4,AT
AT,2006Q1,8,7,1,4,1,3,0.04229264188090745,0.03591375361833416,0.021760382542677963,0.005747126436781609,2.834196538446976,1.4232942726746358,66.33333333333333,2975584.0,2006Q1,AT
AT,2006Q2,15,12,3,9,3,6,0.07505866114561767,0.05911203128594433,0.045925925925925926,0.014179894179894181,4.447539025379924,2.670024060114459,73.0,3480066.0,2006Q2,AT
AT,2006Q3,6,11,-5,0,2,-2,0.025469914358803247,0.04682460238015793,0.0,0.008619730841953064,1.7013313470634355,0.0,75.33333333333333,3575325.0,2006Q3,AT
AT,2006Q4,4,22,-18,4,9,-5,0.025641025641025644,0.11552004333694475,0.025641025641025644,0.04648403239952536,1.3808426039653658,1.3808426039653658,57.333333333333336,3137843.0,2006Q4,AT
AT,2007Q1,2,8,-6,1,0,1,0.010499338624338625,0.04216269841269841,0.005208333333333333,0.0,0.6453036566667061,0.32239791834112086,65.0,3371547.0,2007Q1,AT
AT,2007Q2,7,15,-8,3,2,1,0.03620753467352345,0.07690996571606669,0.015583606046439146,0.010207261960417642,1.8727535589953206,0.8152731352064886,67.0,3786798.0,2007Q2,AT
AT,2007Q3,1,12,-11,0,5,-5,0.004830917874396135,0.05594202898550724,0.0,0.02349206349206349,0.24991721492255692,0.0,68.66666666666667,3995644.0,2007Q3,AT
AT,2007Q4,0,16,-16,0,3,-3,0.0,0.09373038617493369,0.0,0.01780038026662838,0.0,0.0,53.333333333333336,3668325.0,2007Q4,AT
AT,2008Q1,2,10,-8,1,1,0,0.011904761904761904,0.055036630036630035,0.005952380952380952,0.005952380952380952,0.5547170083446079,0.27735850417230395,63.666666666666664,3927634.0,2008Q1,AT
AT,2008Q2,12,14,-2,6,3,3,0.060909300039734826,0.07197231110274589,0.031265031265031266,0.015172428215906477,2.843393690770641,1.4569877892516443,67.0,4122454.0,2008Q2,AT
AT,2008Q3,5,11,-6,3,6,-3,0.024585088199242492,0.053856887769167805,0.01485220954053263,0.0293428424798429,1.2051877187326976,0.7277660035797866,66.0,4127494.0,2008Q3,AT
AT,2008Q4,2,14,-12,1,2,-1,0.01135161135161135,0.08016058016058016,0.006060606060606061,0.010582010582010581,0.5097589178485414,0.2657488763473136,56.0,3371224.0,2008Q4,AT
AT,2009Q1,0,6,-6,0,0,0,0.0,0.032969034608378876,0.0,0.0,0.0,0.0,61.333333333333336,3333556.0,2009Q1,AT
AT,2009Q2,6,7,-1,1,2,-1,0.030392769198739348,0.03584889405784928,0.004975124378109453,0.010266129669114743,1.6520144452798908,0.2785800884324633,67.33333333333333,3657826.0,2009Q2,AT
AT,2009Q3,3,13,-10,0,4,-4,0.014636960126901723,0.06352296488571635,0.0,0.019612084505011177,0.7898519046292144,0.0,66.0,3811039.0,2009Q3,AT
AT,2009Q4,2,9,-7,1,1,0,0.015151515151515152,0.05077658303464755,0.007575757575757576,0.005376344086021505,0.6482612337189192,0.3241306168594596,52.0,3335561.0,2009Q4,AT
AT,2010Q1,1,9,-8,0,2,-2,0.00546448087431694,0.049462973431317135,0.0,0.01092896174863388,0.30770177543924426,0.0,62.333333333333336,3496238.0,2010Q1,AT
AT,2010Q2,4,15,-11,3,5,-2,0.020600124378109454,0.07648536165327209,0.01539179104477612,0.025575248756218905,1.1947188428634212,0.8771726367149646,66.0,3787243.0,2010Q2,AT
AT,2010Q3,1,21,-20,0,6,-6,0.005376344086021505,0.10846433475225,0.0,0.030969066597376655,0.2303231479830832,0.0,62.333333333333336,4310077.0,2010Q3,AT
AT,2010Q4,2,12,-10,0,1,-1,0.013071895424836602,0.07111446729229326,0.0,0.006802721088435374,0.4982080701237823,0.0,50.333333333333336,3629395.0,2010Q4,AT
AT,2011Q1,2,9,-7,1,0,1,0.012596553773024361,0.053980986333927505,0.006535947712418301,0.0,0.5820857591130938,0.2920193164937474,58.333333333333336,3690128.0,2011Q1,AT
AT,2011Q2,4,7,-3,3,3,0,0.02392894461859979,0.04047370254266806,0.01818181818181818,0.017363288052943224,0.9542731034565647,0.7309204188466367,59.0,4328087.0,2011Q2,AT
AT,2011Q3,4,16,-12,0,4,-4,0.02134589947089947,0.08617724867724867,0.0,0.02169312169312169,0.8781552522800752,0.0,59.666666666666664,4636701.0,2011Q3,AT
AT,2011Q4,1,8,-7,0,5,-5,0.005952380952380952,0.05315126050420168,0.0,0.03471055088702147,0.2144261174441865,0.0,49.333333333333336,3857815.0,2011Q4,AT
AT,2012Q1,2,6,-4,2,1,1,0.012059973924380704,0.03561420072232463,0.012059973924380704,0.006410256410256411,0.5423847009496211,0.5423847009496211,59.333333333333336,3944595.0,2012Q1,AT
AT,2012Q2,10,9,1,7,5,2,0.05634068211795742,0.04820873374788016,0.039381948370077254,0.026297814207650275,2.278715384182372,1.5943076425171288,61.666666666666664,4480432.0,2012Q2,AT
AT,2012Q3,6,12,-6,1,1,0,0.03191670933606417,0.06383341867212834,0.005291005291005291,0.005376344086021505,1.300060418596268,0.2195572364857581,62.333333333333336,4677661.0,2012Q3,AT
AT,2012Q4,1,13,-12,1,2,-1,0.005376344086021505,0.07857043110499332,0.005376344086021505,0.012952101661779082,0.21100264871624932,0.21100264871624932,48.666666666666664,3885738.0,2012Q4,AT
AT,2013Q1,0,2,-2,0,0,0,0.0,0.011699507389162561,0.0,0.0,0.0,0.0,57.0,3827160.0,2013Q1,AT
AT,2013Q2,11,7,4,7,2,5,0.06496378256246677,0.03837719298245614,0.040934011164274316,0.011695906432748537,2.620844533689418,1.6532351717113454,61.666666666666664,4277492.0,2013Q2,AT
AT,2013Q3,5,8,-3,2,4,-2,0.026049973418394472,0.04265061480681175,0.010101010101010102,0.022122755569275093,1.1280283932181991,0.45238961241067566,58.0,4530514.0,2013Q3,AT
AT,2013Q4,0,12,-12,0,4,-4,0.0,0.0833256577937429,0.0,0.028181511160234565,0.0,0.0,47.666666666666664,3848323.0,2013Q4,AT
AT,2014Q1,0,6,-6,0,2,-2,0.0,0.036375661375661374,0.0,0.012125220458553791,0.0,0.0,56.666666666666664,3880490.0,2014Q1,AT
AT,2014Q2,13,5,8,7,2,5,0.07866695583026097,0.029979035639413,0.042207041133521285,0.011111111111111112,2.924025432844912,1.5760102449560371,59.0,4593046.0,2014Q2,AT
AT,2014Q3,6,12,-6,5,4,1,0.030866254047224196,0.062048389007344225,0.025657920713890864,0.02099867724867725,1.2717963800979462,1.0591216917673851,62.0,4720594.0,2014Q3,AT
AT,2014Q4,2,13,-11,1,2,-1,0.011904761904761904,0.08516113516113516,0.005952380952380952,0.013359788359788358,0.4255380716146531,0.21276903580732656,46.666666666666664,3881670.0,2014Q4,AT
AT,2015Q1,4,7,-3,2,1,1,0.024717765894236483,0.04385026737967914,0.012121212121212121,0.006060606060606061,1.1037099358124791,0.5604921766188163,56.333333333333336,3841729.0,2015Q1,AT
