geo,origin,year,source,immigration_od
AT,AD,1998,od_prev_residence,10.0
AT,AD,1999,od_prev_residence,3.0
AT,AD,2000,od_prev_residence,1.0
AT,AD,2001,od_prev_residence,0.0
AT,AD,2002,od_prev_residence,0.0
AT,AD,2003,od_prev_residence,1.0
AT,AD,2004,od_prev_residence,1.0
AT,AD,2005,od_prev_residence,0.0
AT,AD,2006,od_prev_residence,1.0
AT,AD,2007,od_prev_residence,2.0
AT,AD,2008,od_prev_residence,1.0
AT,AD,2011,od_prev_residence,1.0
AT,AD,2012,od_prev_residence,0.0
AT,AD,2014,od_prev_residence,0.0
AT,AD,2015,od_prev_residence,1.0
AT,AD,2016,od_prev_residence,1.0
AT,AD,2017,od_prev_residence,1.0
AT,AD,2018,od_prev_residence,2.0
AT,AD,2019,od_prev_residence,1.0
AT,AD,2020,od_prev_residence,2.0
AT,AD,2021,od_prev_residence,1.0
AT,AD,2022,od_prev_residence,2.0
AT,AD,2023,od_prev_residence,0.0
AT,AD,2024,od_prev_residence,2.0
AT,AE,1998,od_prev_residence,38.0
AT,AE,1999,od_prev_residence,64.0
AT,AE,2001,od_prev_residence,34.0
AT,AE,2002,od_prev_residence,17.0
AT,AE,2003,od_prev_residence,24.0
AT,AE,2004,od_prev_residence,26.0
AT,AE,2005,od_prev_residence,27.0
AT,AE,2006,od_prev_residence,24.0
AT,AE,2007,od_prev_residence,40.0
AT,AE,2008,od_prev_residence,44.0
AT,AE,2011,od_prev_residence,78.0
AT,AE,2012,od_prev_residence,58.0
AT,AE,2014,od_prev_residence,78.0
AT,AE,2015,od_prev_residence,120.0
AT,AE,2016,od_prev_residence,157.0
AT,AE,2017,od_prev_residence,117.0
AT,AE,2018,od_prev_residence,171.0
AT,AE,2019,od_prev_residence,123.0
AT,AE,2020,od_prev_residence,141.0
AT,AE,2021,od_prev_residence,158.0
AT,AE,2022,od_prev_residence,137.0
AT,AE,2023,od_prev_residence,141.0
AT,AE,2024,od_prev_residence,189.0
AT,AF,1998,od_prev_residence,183.0
AT,AF,1999,od_prev_residence,542.0
AT,AF,2001,od_prev_residence,1504.0
AT,AF,2002,od_prev_residence,813.0
AT,AF,2003,od_prev_residence,642.0
AT,AF,2004,od_prev_residence,561.0
AT,AF,2005,od_prev_residence,605.0
AT,AF,2006,od_prev_residence,498.0
AT,AF,2007,od_prev_residence,485.0
AT,AF,2008,od_prev_residence,808.0
AT,AF,2011,od_prev_residence,2563.0
AT,AF,2012,od_prev_residence,2721.0
AT,AF,2014,od_prev_residence,2420.0
AT,AF,2015,od_prev_residence,17632.0
AT,AF,2016,od_prev_residence,10110.0
AT,AF,2017,od_prev_residence,1541.0
AT,AF,2018,od_prev_residence,828.0
AT,AF,2019,od_prev_residence,980.0
AT,AF,2020,od_prev_residence,1037.0
AT,AF,2021,od_prev_residence,1717.0
AT,AF,2022,od_prev_residence,2563.0
AT,AF,2023,od_prev_residence,2839.0
AT,AF,2024,od_prev_residence,1591.0
AT,AG,1998,od_prev_residence,3.0
AT,AG,1999,od_prev_residence,1.0
AT,AG,2000,od_prev_residence,1.0
AT,AG,2001,od_prev_residence,3.0
AT,AG,2002,od_prev_residence,1.0
AT,AG,2003,od_prev_residence,2.0
AT,AG,2004,od_prev_residence,0.0
AT,AG,2005,od_prev_residence,1.0
AT,AG,2006,od_prev_residence,2.0
AT,AG,2007,od_prev_residence,0.0
AT,AG,2008,od_prev_residence,0.0
AT,AG,2011,od_prev_residence,0.0
AT,AG,2012,od_prev_residence,0.0
AT,AG,2014,od_prev_residence,2.0
AT,AG,2015,od_prev_residence,1.0
AT,AG,2016,od_prev_residence,0.0
AT,AG,2017,od_prev_residence,1.0
AT,AG,2018,od_prev_residence,3.0
AT,AG,2019,od_prev_residence,0.0
AT,AG,2020,od_prev_residence,0.0
AT,AG,2021,od_prev_residence,0.0
AT,AG,2022,od_prev_residence,0.0
AT,AG,2023,od_prev_residence,0.0
AT,AG,2024,od_prev_residence,0.0
AT,AI,1998,od_prev_residence,0.0
AT,AI,1999,od_prev_residence,0.0
AT,AI,2000,od_prev_residence,0.0
AT,AI,2001,od_prev_residence,0.0
AT,AI,2002,od_prev_residence,0.0
AT,AI,2003,od_prev_residence,0.0
AT,AI,2004,od_prev_residence,0.0
AT,AI,2005,od_prev_residence,0.0
AT,AI,2006,od_prev_residence,0.0
AT,AI,2007,od_prev_residence,0.0
AT,AI,2008,od_prev_residence,0.0
AT,AI,2011,od_prev_residence,0.0
AT,AI,2012,od_prev_residence,0.0
AT,AI,2014,od_prev_residence,0.0
AT,AI,2015,od_prev_residence,0.0
AT,AI,2016,od_prev_residence,0.0
AT,AI,2017,od_prev_residence,0.0
AT,AI,2018,od_prev_residence,0.0
AT,AI,2019,od_prev_residence,0.0
AT,AI,2020,od_prev_residence,0.0
AT,AI,2021,od_prev_residence,0.0
AT,AI,2022,od_prev_residence,0.0
AT,AI,2023,od_prev_residence,0.0
AT,AI,2024,od_prev_residence,0.0
AT,AL,1998,od_prev_residence,234.0
AT,AL,1999,od_prev_residence,360.0
AT,AL,2000,od_prev_residence,194.0
AT,AL,2001,od_prev_residence,271.0
AT,AL,2002,od_prev_residence,204.0
AT,AL,2003,od_prev_residence,230.0
AT,AL,2004,od_prev_residence,252.0
AT,AL,2005,od_prev_residence,242.0
AT,AL,2006,od_prev_residence,207.0
AT,AL,2007,od_prev_residence,141.0
AT,AL,2008,od_prev_residence,114.0
AT,AL,2011,od_prev_residence,140.0
AT,AL,2012,od_prev_residence,170.0
AT,AL,2014,od_prev_residence,250.0
AT,AL,2015,od_prev_residence,320.0
AT,AL,2016,od_prev_residence,341.0
AT,AL,2017,od_prev_residence,370.0
AT,AL,2018,od_prev_residence,348.0
AT,AL,2019,od_prev_residence,391.0
AT,AL,2020,od_prev_residence,316.0
AT,AL,2021,od_prev_residence,386.0
AT,AL,2022,od_prev_residence,516.0
AT,AL,2023,od_prev_residence,472.0
AT,AL,2024,od_prev_residence,416.0
AT,AM,1998,od_prev_residence,40.0
AT,AM,1999,od_prev_residence,122.0
AT,AM,2001,od_prev_residence,368.0
AT,AM,2002,od_prev_residence,507.0
AT,AM,2003,od_prev_residence,348.0
AT,AM,2004,od_prev_residence,496.0
AT,AM,2005,od_prev_residence,437.0
AT,AM,2006,od_prev_residence,304.0
AT,AM,2007,od_prev_residence,293.0
AT,AM,2008,od_prev_residence,198.0
AT,AM,2011,od_prev_residence,101.0
AT,AM,2012,od_prev_residence,223.0
AT,AM,2014,od_prev_residence,275.0
AT,AM,2015,od_prev_residence,241.0
AT,AM,2016,od_prev_residence,196.0
AT,AM,2017,od_prev_residence,141.0
AT,AM,2018,od_prev_residence,80.0
AT,AM,2019,od_prev_residence,75.0
AT,AM,2020,od_prev_residence,49.0
AT,AM,2021,od_prev_residence,76.0
AT,AM,2022,od_prev_residence,147.0
AT,AM,2023,od_prev_residence,147.0
AT,AM,2024,od_prev_residence,119.0
AT,AN,1998,od_prev_residence,1.0
AT,AN,1999,od_prev_residence,0.0
AT,AN,2000,od_prev_residence,2.0
AT,AN,2001,od_prev_residence,2.0
AT,AN,2002,od_prev_residence,0.0
AT,AN,2003,od_prev_residence,0.0
AT,AN,2004,od_prev_residence,1.0
AT,AN,2005,od_prev_residence,0.0
AT,AN,2006,od_prev_residence,0.0
AT,AN,2007,od_prev_residence,0.0
AT,AN,2008,od_prev_residence,1.0
AT,AN,2011,od_prev_residence,2.0
AT,AN,2012,od_prev_residence,2.0
AT,AN,2014,od_prev_residence,2.0
AT,AN,2015,od_prev_residence,2.0
AT,AN,2016,od_prev_residence,2.0
AT,AN,2017,od_prev_residence,1.0
AT,AN,2018,od_prev_residence,3.0
AT,AN,2019,od_prev_residence,0.0
AT,AN,2020,od_prev_residence,0.0
AT,AN,2021,od_prev_residence,3.0
AT,AN,2022,od_prev_residence,1.0
AT,AN,2023,od_prev_residence,0.0
AT,AN,2024,od_prev_residence,0.0
AT,AO,1998,od_prev_residence,23.0
AT,AO,1999,od_prev_residence,50.0
AT,AO,2000,od_prev_residence,83.0
AT,AO,2001,od_prev_residence,23.0
AT,AO,2002,od_prev_residence,26.0
AT,AO,2003,od_prev_residence,26.0
AT,AO,2004,od_prev_residence,24.0
AT,AO,2005,od_prev_residence,26.0
