geo,hpi_index,hpi_growth,air_passengers,net_migration_rate,immigration,emigration,gdp_pc_growth,unemployment_rate,inflation_hicp,population,long_rate,year,net_migration_level,immigration_rate_per_1000,emigration_rate_per_1000,net_migration_level_per_1000,log_hpi,log_air_passengers,log_population,dlog_hpi,air_growth,pop_growth,L1_hpi_growth,L1_dlog_hpi,L1_net_migration_rate,L1_net_migration_level_per_1000,L1_immigration_rate_per_1000,L1_emigration_rate_per_1000,L1_air_growth,L1_gdp_pc_growth,L1_unemployment_rate,L1_inflation_hicp,L1_long_rate,L1_pop_growth,post_2020,post_2022
AT,,,,,,,,,,,,1949,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1951,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1952,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1953,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1954,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1955,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1956,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1957,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1958,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1959,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1960,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1961,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1962,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1963,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1964,,,,,,,,,,,,,,,,,,,,,,,0,0
AT,,,,,,,,,,,,1965,,,,,,,,,,,,,,,,,,,,,,,0,0
