geo,country,year,rhpi_index_oecd,rhpi_growth,air_passengers_ths,net_migration_rate,gdp_mio_eur,unemployment_rate,population,disp_income_mio_pps,air_passengers,log_air_passengers,log_population,gdp_per_capita_eur,log_gdp_per_capita,air_growth,pop_growth,gdp_pc_growth,L1_rhpi_growth,L1_net_migration_rate,L1_air_growth,L1_unemployment_rate,L1_pop_growth,L1_gdp_pc_growth,post_2020,post_2022
BG31,BG,2015,100.0,,,-8.9,3089.05,12.1,785188.0,4453.0,,,13.573678458537147,3934.153349261578,8.277450978682822,,,,,,,,,,0,0
BG31,BG,2016,102.112,2.112,,-9.0,3223.35,10.6,768967.0,4460.18,,,13.552803334693134,4191.792365602165,8.340883693667818,,-2.0875123844012577,6.343271498499625,,-8.9,,12.1,,,0,0
BG31,BG,2017,108.64,6.392,,-9.1,3539.81,11.3,753059.0,4442.65,,,13.531898856966226,4700.574589773179,8.455440033369072,,-2.090447772690851,11.455633970125412,2.112,-9.0,,10.6,-2.0875123844012577,6.343271498499625,0,0
BG31,BG,2018,115.14,5.983,,-9.4,3923.8,11.3,736788.0,5069.97,,,13.510055477145654,5325.548190252827,8.580270931805348,,-2.184337982057194,12.483089843627582,6.392,-9.1,,11.3,-2.090447772690851,11.455633970125412,0,0
BG31,BG,2019,121.394,5.432,,-9.6,3943.37,10.6,720754.0,5155.17,,,13.488053165259789,5471.1732435754775,8.607248359359492,,-2.200231188586521,2.6977427554143674,5.983,-9.4,,11.3,-2.184337982057194,12.483089843627582,0,0
BG31,BG,2020,128.079,5.507,,4.3,4218.35,12.7,704576.0,5268.67,,,13.465351482430075,5987.075915160324,8.697358410845016,,-2.2701682829714187,9.011005148552442,5.432,-9.6,,10.6,-2.200231188586521,2.6977427554143674,1,0
BG31,BG,2021,137.524,7.374,,0.6,4963.5,10.9,696328.0,5902.85,,,13.453576092674195,7128.106294734665,8.871800881319855,,-1.1775389755879218,17.444247047483863,5.507,4.3,,12.7,-2.2701682829714187,9.011005148552442,1,0
BG31,BG,2022,151.839,10.409,,-0.2,5979.94,6.8,682036.0,6253.77,,,13.432837721356226,8767.77765396548,9.078838650057575,,-2.073837131796985,20.70377687377203,7.374,0.6,,10.9,-1.1775389755879218,17.444247047483863,1,1
BG31,BG,2023,167.603,10.382,,1.0,6528.61,7.8,671502.0,6883.21,,,13.417272273347546,9722.39844408505,9.182187620522537,,-1.5565448008679539,10.334897046496216,10.409,-0.2,,6.8,-2.073837131796985,20.70377687377203,1,1
BG31,BG,2024,190.07,13.405,,,6794.63,9.7,664024.0,,,,13.406073572383685,10232.506656385915,9.233324858880485,,-1.119870096386144,5.113723835794737,10.382,1.0,,7.8,-1.5565448008679539,10.334897046496216,1,1
BG32,BG,2015,100.0,,,-11.6,3640.27,10.6,797965.0,5111.19,,,13.58982001582096,4561.9419398093905,8.425503675847386,,,,,,,,,,0,0
BG32,BG,2016,101.91,1.91,,-12.0,3798.87,9.3,781422.0,5336.57,,,13.568870615801092,4861.483295837588,8.48909887523385,,-2.094940001986778,6.359519938646407,,-11.6,,10.6,,,0,0
BG32,BG,2017,110.185,8.12,,-11.8,4050.16,6.9,765086.0,5594.82,,,13.547743524790864,5293.73168506547,8.574278698666488,,-2.1127091010228582,8.517982343263775,1.91,-12.0,,9.3,-2.094940001986778,6.359519938646407,0,0
BG32,BG,2018,117.735,6.852,,-12.3,4304.77,6.7,748308.0,5921.85,,,13.525569936910674,5752.671359921316,8.65741961023965,,-2.2173587880189416,8.314091157316206,8.12,-11.8,,6.9,-2.1127091010228582,8.517982343263775,0,0
