geo,time_period,hpi_index,hpi_qoq_growth_eurostat,air_passengers,period,year,quarter,log_hpi,log_air_passengers,dlog_hpi_qoq,hpi_yoy,air_qoq,air_yoy,L1_air_qoq,L2_air_qoq,L1_air_yoy,L2_air_yoy,L1_hpi_yoy,L2_hpi_yoy,L1_dlog_hpi_qoq,L2_dlog_hpi_qoq,period_str,quarter_end,post_2020q1,pandemic_shock
AT,1993-Q1,,,,1993Q1,1993,1,,,,,,,,,,,,,,,1993Q1,1993-03-31 23:59:59.999999999,0,0
AT,1993-Q2,,,,1993Q2,1993,2,,,,,,,,,,,,,,,1993Q2,1993-06-30 23:59:59.999999999,0,0
AT,1993-Q3,,,,1993Q3,1993,3,,,,,,,,,,,,,,,1993Q3,1993-09-30 23:59:59.999999999,0,0
AT,1993-Q4,,,,1993Q4,1993,4,,,,,,,,,,,,,,,1993Q4,1993-12-31 23:59:59.999999999,0,0
AT,1994-Q1,,,,1994Q1,1994,1,,,,,,,,,,,,,,,1994Q1,1994-03-31 23:59:59.999999999,0,0
AT,1994-Q2,,,,1994Q2,1994,2,,,,,,,,,,,,,,,1994Q2,1994-06-30 23:59:59.999999999,0,0
AT,1994-Q3,,,,1994Q3,1994,3,,,,,,,,,,,,,,,1994Q3,1994-09-30 23:59:59.999999999,0,0
AT,1994-Q4,,,,1994Q4,1994,4,,,,,,,,,,,,,,,1994Q4,1994-12-31 23:59:59.999999999,0,0
AT,1995-Q1,,,,1995Q1,1995,1,,,,,,,,,,,,,,,1995Q1,1995-03-31 23:59:59.999999999,0,0
AT,1995-Q2,,,,1995Q2,1995,2,,,,,,,,,,,,,,,1995Q2,1995-06-30 23:59:59.999999999,0,0
AT,1995-Q3,,,,1995Q3,1995,3,,,,,,,,,,,,,,,1995Q3,1995-09-30 23:59:59.999999999,0,0
AT,1995-Q4,,,,1995Q4,1995,4,,,,,,,,,,,,,,,1995Q4,1995-12-31 23:59:59.999999999,0,0
AT,1996-Q1,,,,1996Q1,1996,1,,,,,,,,,,,,,,,1996Q1,1996-03-31 23:59:59.999999999,0,0
AT,1996-Q2,,,,1996Q2,1996,2,,,,,,,,,,,,,,,1996Q2,1996-06-30 23:59:59.999999999,0,0
AT,1996-Q3,,,,1996Q3,1996,3,,,,,,,,,,,,,,,1996Q3,1996-09-30 23:59:59.999999999,0,0
AT,1996-Q4,,,,1996Q4,1996,4,,,,,,,,,,,,,,,1996Q4,1996-12-31 23:59:59.999999999,0,0
AT,1997-Q1,,,,1997Q1,1997,1,,,,,,,,,,,,,,,1997Q1,1997-03-31 23:59:59.999999999,0,0
AT,1997-Q2,,,,1997Q2,1997,2,,,,,,,,,,,,,,,1997Q2,1997-06-30 23:59:59.999999999,0,0
AT,1997-Q3,,,,1997Q3,1997,3,,,,,,,,,,,,,,,1997Q3,1997-09-30 23:59:59.999999999,0,0
AT,1997-Q4,,,,1997Q4,1997,4,,,,,,,,,,,,,,,1997Q4,1997-12-31 23:59:59.999999999,0,0
AT,1998-Q1,,,,1998Q1,1998,1,,,,,,,,,,,,,,,1998Q1,1998-03-31 23:59:59.999999999,0,0
AT,1998-Q2,,,,1998Q2,1998,2,,,,,,,,,,,,,,,1998Q2,1998-06-30 23:59:59.999999999,0,0
AT,1998-Q3,,,,1998Q3,1998,3,,,,,,,,,,,,,,,1998Q3,1998-09-30 23:59:59.999999999,0,0
AT,1998-Q4,,,,1998Q4,1998,4,,,,,,,,,,,,,,,1998Q4,1998-12-31 23:59:59.999999999,0,0
AT,1999-Q1,,,,1999Q1,1999,1,,,,,,,,,,,,,,,1999Q1,1999-03-31 23:59:59.999999999,0,0
AT,1999-Q2,,,,1999Q2,1999,2,,,,,,,,,,,,,,,1999Q2,1999-06-30 23:59:59.999999999,0,0
AT,1999-Q3,,,,1999Q3,1999,3,,,,,,,,,,,,,,,1999Q3,1999-09-30 23:59:59.999999999,0,0
AT,1999-Q4,,,,1999Q4,1999,4,,,,,,,,,,,,,,,1999Q4,1999-12-31 23:59:59.999999999,0,0
AT,2000-Q1,,,,2000Q1,2000,1,,,,,,,,,,,,,,,2000Q1,2000-03-31 23:59:59.999999999,0,0
AT,2000-Q2,,,,2000Q2,2000,2,,,,,,,,,,,,,,,2000Q2,2000-06-30 23:59:59.999999999,0,0
AT,2000-Q3,,,,2000Q3,2000,3,,,,,,,,,,,,,,,2000Q3,2000-09-30 23:59:59.999999999,0,0
AT,2000-Q4,,,,2000Q4,2000,4,,,,,,,,,,,,,,,2000Q4,2000-12-31 23:59:59.999999999,0,0
AT,2001-Q1,,,,2001Q1,2001,1,,,,,,,,,,,,,,,2001Q1,2001-03-31 23:59:59.999999999,0,0
AT,2001-Q2,,,,2001Q2,2001,2,,,,,,,,,,,,,,,2001Q2,2001-06-30 23:59:59.999999999,0,0
AT,2001-Q3,,,,2001Q3,2001,3,,,,,,,,,,,,,,,2001Q3,2001-09-30 23:59:59.999999999,0,0
AT,2001-Q4,,,,2001Q4,2001,4,,,,,,,,,,,,,,,2001Q4,2001-12-31 23:59:59.999999999,0,0
AT,2002-Q1,,,3048412.0,2002Q1,2002,1,,14.930131357257626,,,,,,,,,,,,,2002Q1,2002-03-31 23:59:59.999999999,0,0
AT,2002-Q2,,,3898712.0,2002Q2,2002,2,,15.17615680014296,,,24.6025442885335,,,,,,,,,,2002Q2,2002-06-30 23:59:59.999999999,0,0
AT,2002-Q3,,,4605091.0,2002Q3,2002,3,,15.342672988605504,,,16.6516188462543,,24.6025442885335,,,,,,,,2002Q3,2002-09-30 23:59:59.999999999,0,0
AT,2002-Q4,,,3391550.0,2002Q4,2002,4,,15.0367976019988,,,-30.587538660670432,,16.6516188462543,24.6025442885335,,,,,,,2002Q4,2002-12-31 23:59:59.999999999,0,0
AT,2003-Q1,,,3285417.0,2003Q1,2003,1,,15.005004142483836,,,-3.1793459514963374,7.4872785226210326,-30.587538660670432,16.6516188462543,,,,,,,2003Q1,2003-03-31 23:59:59.999999999,0,0
AT,2003-Q2,,,3891254.0,2003Q2,2003,2,,15.174242028684745,,,16.923788620090896,-0.1914771458215725,-3.1793459514963374,-30.587538660670432,7.4872785226210326,,,,,,2003Q2,2003-06-30 23:59:59.999999999,0,0
AT,2003-Q3,,,4847898.0,2003Q3,2003,3,,15.394055766905991,,,21.981373822124617,5.138277830048743,16.923788620090896,-3.1793459514963374,-0.1914771458215725,7.4872785226210326,,,,,2003Q3,2003-09-30 23:59:59.999999999,0,0
AT,2003-Q4,,,3774083.0,2003Q4,2003,4,,15.143667997249615,,,-25.038776965637588,10.687039525081587,21.981373822124617,16.923788620090896,5.138277830048743,-0.1914771458215725,,,,,2003Q4,2003-12-31 23:59:59.999999999,0,0
AT,2004-Q1,,,3764773.0,2004Q1,2004,1,,15.14119812523381,,,-0.24698720158049525,13.61939827499743,-25.038776965637588,21.981373822124617,10.687039525081587,5.138277830048743,,,,,2004Q1,2004-03-31 23:59:59.999999999,0,0
AT,2004-Q2,,,4730940.0,2004Q2,2004,2,,15.369634472224684,,,22.843634699087367,19.5392443539939,-0.24698720158049525,-25.038776965637588,13.61939827499743,10.687039525081587,,,,,2004Q2,2004-06-30 23:59:59.999999999,0,0
AT,2004-Q3,,,5619121.0,2004Q3,2004,3,,15.541685803943277,,,17.205133171859366,14.76300370372865,22.843634699087367,-0.24698720158049525,19.5392443539939,13.61939827499743,,,,,2004Q3,2004-09-30 23:59:59.999999999,0,0
AT,2004-Q4,,,4181778.0,2004Q4,2004,4,,15.246247072913183,,,-29.54387310300941,10.257907566356828,17.205133171859366,22.843634699087367,14.76300370372865,19.5392443539939,,,,,2004Q4,2004-12-31 23:59:59.999999999,0,0
AT,2005-Q1,,,4106751.0,2005Q1,2005,1,,15.22814276290497,,,-1.8104310008213886,8.694463767115934,-29.54387310300941,17.205133171859366,10.257907566356828,14.76300370372865,,,,,2005Q1,2005-03-31 23:59:59.999999999,0,0
AT,2005-Q2,,,5073894.0,2005Q2,2005,2,,15.439619128107223,,,21.147636520225355,6.9984655882539215,-1.8104310008213886,-29.54387310300941,8.694463767115934,10.257907566356828,,,,,2005Q2,2005-06-30 23:59:59.999999999,0,0
AT,2005-Q3,,,6022098.0,2005Q3,2005,3,,15.610946261554636,,,17.13271334474129,6.926045761135846,21.147636520225355,-1.8104310008213886,6.9984655882539215,8.694463767115934,,,,,2005Q3,2005-09-30 23:59:59.999999999,0,0
AT,2005-Q4,,,4482079.0,2005Q4,2005,4,,15.315597559247466,,,-29.534870230716948,6.935048633428309,17.13271334474129,21.147636520225355,6.926045761135846,6.9984655882539215,,,,,2005Q4,2005-12-31 23:59:59.999999999,0,0
AT,2006-Q1,,,4430784.0,2006Q1,2006,1,,15.30408710153236,,,-1.151045771510617,7.594433862739081,-29.534870230716948,17.13271334474129,6.935048633428309,6.926045761135846,,,,,2006Q1,2006-03-31 23:59:59.999999999,0,0
AT,2006-Q2,,,5433292.0,2006Q2,2006,2,,15.508055769717982,,,20.39686681856221,6.843664161075935,-1.151045771510617,-29.534870230716948,7.594433862739081,6.935048633428309,,,,,2006Q2,2006-06-30 23:59:59.999999999,0,0
AT,2006-Q3,,,6208438.0,2006Q3,2006,3,,15.641419892480078,,,13.336412276209586,3.0473630925442308,20.39686681856221,-1.151045771510617,6.843664161075935,7.594433862739081,,,,,2006Q3,2006-09-30 23:59:59.999999999,0,0
AT,2006-Q4,,,4752019.0,2006Q4,2006,4,,15.374080138333124,,,-26.733975414695443,5.848257908565735,13.336412276209586,20.39686681856221,3.0473630925442308,6.843664161075935,,,,,2006Q4,2006-12-31 23:59:59.999999999,0,0
AT,2007-Q1,,,4918194.0,2007Q1,2007,1,,15.408451947909912,,,3.437180957678798,10.43648463775515,-26.733975414695443,13.336412276209586,5.848257908565735,3.0473630925442308,,,,,2007Q1,2007-03-31 23:59:59.999999999,0,0
AT,2007-Q2,,,5827676.0,2007Q2,2007,2,,15.578128851066191,,,16.967690315627948,7.007308134820889,3.437180957678798,-26.733975414695443,10.43648463775515,5.848257908565735,,,,,2007Q2,2007-06-30 23:59:59.999999999,0,0
AT,2007-Q3,,,6693236.0,2007Q3,2007,3,,15.71660802218129,,,13.847917111509922,7.518812970121225,16.967690315627948,3.437180957678798,7.007308134820889,10.43648463775515,,,,,2007Q3,2007-09-30 23:59:59.999999999,0,0
AT,2007-Q4,,,5486998.0,2007Q4,2007,4,,15.517891851543142,,,-19.871617063814817,14.381171321001851,13.847917111509922,16.967690315627948,7.518812970121225,7.007308134820889,,,,,2007Q4,2007-12-31 23:59:59.999999999,0,0
AT,2008-Q1,,,5642658.0,2008Q1,2008,1,,15.54586578905405,,,2.7973937510907376,13.74138411441379,-19.871617063814817,13.847917111509922,14.381171321001851,7.518812970121225,,,,,2008Q1,2008-03-31 23:59:59.999999999,0,0
AT,2008-Q2,,,6329051.0,2008Q2,2008,2,,15.660660861870022,,,11.479507281597279,8.253201080383121,2.7973937510907376,-19.871617063814817,13.74138411441379,14.381171321001851,,,,,2008Q2,2008-06-30 23:59:59.999999999,0,0
AT,2008-Q3,,,6814142.0,2008Q3,2008,3,,15.734510716434105,,,7.384985456408266,1.7902694252814655,11.479507281597279,2.7973937510907376,8.253201080383121,13.74138411441379,,,,,2008Q3,2008-09-30 23:59:59.999999999,0,0
AT,2008-Q4,,,5113733.0,2008Q4,2008,4,,15.44744022384965,,,-28.707049258445494,-7.045162769349211,7.384985456408266,11.479507281597279,1.7902694252814655,8.253201080383121,,,,,2008Q4,2008-12-31 23:59:59.999999999,0,0
AT,2009-Q1,,,4811079.0,2009Q1,2009,1,,15.38643194124933,,,-6.1008282600321095,-15.943384780472059,-28.707049258445494,7.384985456408266,-7.045162769349211,1.7902694252814655,,,,,2009Q1,2009-03-31 23:59:59.999999999,0,0
AT,2009-Q2,,,5606671.0,2009Q2,2009,2,,15.539467696730085,,,15.30357554807562,-12.119316513993716,-6.1008282600321095,-28.707049258445494,-15.943384780472059,-7.045162769349211,,,,,2009Q2,2009-06-30 23:59:59.999999999,0,0
AT,2009-Q3,,,6330598.0,2009Q3,2009,3,,15.660905260432369,,,12.143756370228331,-7.360545600173651,15.30357554807562,-6.1008282600321095,-12.119316513993716,-15.943384780472059,,,,,2009Q3,2009-09-30 23:59:59.999999999,0,0
AT,2009-Q4,,,5068919.0,2009Q4,2009,4,,15.43863813784368,,,-22.226712258868808,-0.8802086005969656,12.143756370228331,15.30357554807562,-7.360545600173651,-12.119316513993716,,,,,2009Q4,2009-12-31 23:59:59.999999999,0,0
AT,2010-Q1,75.05,,5119095.0,2010Q1,2010,1,4.318154558079471,15.448488223579687,,,0.9850085736006875,6.205628233035831,-22.226712258868808,12.143756370228331,-0.8802086005969656,-7.360545600173651,,,,,2010Q1,2010-03-31 23:59:59.999999999,0,0
AT,2010-Q2,77.21,2.9,5856889.0,2010Q2,2010,2,4.3465289823207245,15.583129133210585,2.8374424241253138,,13.464090963089781,4.3661436480499916,0.9850085736006875,-22.226712258868808,6.205628233035831,-0.8802086005969656,,,,,2010Q2,2010-06-30 23:59:59.999999999,0,0
AT,2010-Q3,78.19,1.3,7038428.0,2010Q3,2010,3,4.359141762136423,15.766895407745539,1.2612779815698083,,18.37662745349533,10.599014731316991,13.464090963089781,0.9850085736006875,4.3661436480499916,6.205628233035831,,,2.8374424241253138,,2010Q3,2010-09-30 23:59:59.999999999,0,0
AT,2010-Q4,78.84,0.8,5518043.0,2010Q4,2010,4,4.367420482284519,15.523533826407512,0.8278720148096497,,-24.336158133802677,8.489568856383123,18.37662745349533,13.464090963089781,10.599014731316991,4.3661436480499916,,,1.2612779815698083,2.8374424241253138,2010Q4,2010-12-31 23:59:59.999999999,0,0
AT,2011-Q1,78.96,0.2,5356549.0,2011Q1,2011,1,4.368941395125226,15.493830482407308,0.15209128407072114,5.078683704575493,-2.9703344000203913,4.534225882762044,-24.336158133802677,18.37662745349533,8.489568856383123,10.599014731316991,,,0.8278720148096497,1.2612779815698083,2011Q1,2011-03-31 23:59:59.999999999,0,0
AT,2011-Q2,81.28,2.9,6487965.0,2011Q2,2011,2,4.397899983830172,15.685459480188236,2.89585887049455,5.137100150944729,19.16289977809278,10.233034697765042,-2.9703344000203913,-24.336158133802677,4.534225882762044,8.489568856383123,5.078683704575493,,0.15209128407072114,0.8278720148096497,2011Q2,2011-06-30 23:59:59.999999999,0,0
AT,2011-Q3,82.59,1.6,7457553.0,2011Q3,2011,3,4.413888607822626,15.82473790228511,1.5988623992454265,5.474684568620347,13.927842209687391,5.784249453957102,19.16289977809278,-2.9703344000203913,10.233034697765042,4.534225882762044,5.137100150944729,5.078683704575493,2.89585887049455,0.15209128407072114,2011Q3,2011-09-30 23:59:59.999999999,0,0
AT,2011-Q4,83.06,0.6,5835545.0,2011Q4,2011,4,4.419563238202607,15.579478221226285,0.567463037998106,5.2142755918088035,-24.525968105882434,5.594439481877345,13.927842209687391,19.16289977809278,5.784249453957102,10.233034697765042,5.474684568620347,5.137100150944729,1.5988623992454265,2.89585887049455,2011Q4,2011-12-31 23:59:59.999999999,0,0
AT,2012-Q1,85.3,2.7,5746359.0,2012Q1,2012,1,4.446174454497633,15.564076994815423,2.6611216295026274,7.72330593724071,-1.5401226410862279,7.024651240811508,-24.525968105882434,13.927842209687391,5.594439481877345,5.784249453957102,5.2142755918088035,5.474684568620347,0.567463037998106,1.5988623992454265,2012Q1,2012-03-31 23:59:59.999999999,0,0
AT,2012-Q2,85.44,0.2,6792603.0,2012Q2,2012,2,4.447814375211885,15.731344783951256,0.16399207142514527,4.991439138171305,16.726778913583296,4.588530376302025,-1.5401226410862279,-24.525968105882434,7.024651240811508,5.594439481877345,7.72330593724071,5.2142755918088035,2.6611216295026274,0.567463037998106,2012Q2,2012-06-30 23:59:59.999999999,0,0
AT,2012-Q3,88.71,3.8,7540979.0,2012Q3,2012,3,4.485372622532496,15.835862572404352,3.755824732061086,7.148401470986965,10.451778845309612,1.1124670119242452,16.726778913583296,-1.5401226410862279,4.588530376302025,7.024651240811508,4.991439138171305,7.72330593724071,0.16399207142514527,2.6611216295026274,2012Q3,2012-09-30 23:59:59.999999999,0,0
AT,2012-Q4,88.0,-0.8,5886036.0,2012Q4,2012,4,4.477336814478207,15.588093323964802,-0.8035808054288829,5.777357627559976,-24.776924843954973,0.8615102738517066,10.451778845309612,16.726778913583296,1.1124670119242452,4.588530376302025,7.148401470986965,4.991439138171305,3.755824732061086,0.16399207142514527,2012Q4,2012-12-31 23:59:59.999999999,0,0
AT,2013-Q1,89.06,1.2,5647098.0,2013Q1,2013,1,4.489310299893557,15.54665234285183,1.1973485415349927,4.313584539592341,-4.14409811129719,-1.7424651963592552,-24.776924843954973,10.451778845309612,0.8615102738517066,1.1124670119242452,5.777357627559976,7.148401470986965,-0.8035808054288829,3.755824732061086,2013Q1,2013-03-31 23:59:59.999999999,0,0
