geo,time_period,hpi_index,hpi_qoq_growth_eurostat,air_passengers,period,year,quarter,log_hpi,log_air_passengers,dlog_hpi_qoq,hpi_yoy,air_qoq,air_yoy,L1_air_qoq,L2_air_qoq,L1_air_yoy,L2_air_yoy,L1_hpi_yoy,L2_hpi_yoy,L1_dlog_hpi_qoq,L2_dlog_hpi_qoq,period_str,quarter_end,post_2020q1,pandemic_shock,country_name_x,country_name_y,hpi_growth_harmonized,air_growth_harmonized,net_migration_rate_harmonized,gdp_pc_growth_harmonized,unemployment_rate_harmonized,inflation_hicp_harmonized,long_rate_harmonized,pop_growth_harmonized,hpi_yoy_harmonized,hpi_yoy_harmonized_source,oecd_hpi_yoy_q,L1y_net_migration_rate_harmonized,L1y_gdp_pc_growth_harmonized,L1y_unemployment_rate_harmonized,L1y_inflation_hicp_harmonized,L1y_long_rate_harmonized,L1y_pop_growth_harmonized,quarterly_fe_complete,route_open_q,route_close_q,net_openings_q,route_open_persist_q,route_close_persist_q,net_openings_persist_q,open_rate_norm_q,close_rate_norm_q,open_persist_rate_norm_q,close_persist_rate_norm_q,opening_passenger_intensity_q,opening_persist_passenger_intensity_q,active_routes_q_mean,passengers_total_q_sum,airfare_idx_q,airfare_yoy_m_q,airfare_yoy_q,pas_lic_eu,pas_lic_neu,pas_total,move_lic_eu,move_lic_neu,move_total,lic_neu_share_pas,lic_eu_share_pas,lic_neu_share_move,pax_per_move_total,pax_per_move_lic_neu,pax_per_move_lic_eu,lic_neu_pas_growth_yoy,lic_eu_pas_growth_yoy,quarter_id,L1_open_rate_norm_q,L1_close_rate_norm_q,L1_open_persist_rate_norm_q,L1_close_persist_rate_norm_q,L1_airfare_yoy_q,L1_airfare_yoy_m_q,L1_lic_neu_share_pas,L1_lic_eu_share_pas,L1_lic_neu_share_move,L1_pax_per_move_total,L1_pax_per_move_lic_neu,L1_pax_per_move_lic_eu,L1_lic_neu_pas_growth_yoy,L1_lic_eu_pas_growth_yoy,lic_neu_share_pas_pre2019_mean
AT,1993-Q1,,,,1993Q1,1993,1,,,,,,,,,,,,,,,1993Q1,1993-03-31 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,,missing,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7973,,,,,,,,,,,,,,,
AT,1993-Q2,,,,1993Q2,1993,2,,,,,,,,,,,,,,,1993Q2,1993-06-30 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,,missing,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7974,,,,,,,,,,,,,,,
AT,1993-Q3,,,,1993Q3,1993,3,,,,,,,,,,,,,,,1993Q3,1993-09-30 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,,missing,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7975,,,,,,,,,,,,,,,
AT,1993-Q4,,,,1993Q4,1993,4,,,,,,,,,,,,,,,1993Q4,1993-12-31 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,,missing,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7976,,,,,,,,,,,,,,,
AT,1994-Q1,,,,1994Q1,1994,1,,,,,,,,,,,,,,,1994Q1,1994-03-31 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,,missing,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7977,,,,,,,,,,,,,,,
AT,1994-Q2,,,,1994Q2,1994,2,,,,,,,,,,,,,,,1994Q2,1994-06-30 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,,missing,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7978,,,,,,,,,,,,,,,
AT,1994-Q3,,,,1994Q3,1994,3,,,,,,,,,,,,,,,1994Q3,1994-09-30 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,,missing,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7979,,,,,,,,,,,,,,,
AT,1994-Q4,,,,1994Q4,1994,4,,,,,,,,,,,,,,,1994Q4,1994-12-31 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,,missing,,,-0.298753799856229,4.25,3.63178524943176,6.7,0.824627940995206,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7980,,,,,,,,,,,,,,,
AT,1995-Q1,,,,1995Q1,1995,1,,,,,,,,,,,,,,,1995Q1,1995-03-31 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.51091305108029,4.345,2.24336631500905,7.14,0.153106260702748,,missing,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7981,,,,,,,,,,,,,,,
AT,1995-Q2,,,,1995Q2,1995,2,,,,,,,,,,,,,,,1995Q2,1995-06-30 23:59:59.999999999,0.0,0.0,Austria,Austria,,,,2.51091305108029,4.345,2.24336631500905,7.14,0.153106260702748,,missing,,,2.00876130503556,3.535,2.95340936761079,7.03,0.384869546678302,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7982,,,,,,,,,,,,,,,
