geo,country_name,a_year_min,a_year_max,a_rows,a_hpi_nonmissing,a_netmig_nonmissing,a_gdp_nonmissing,a_unemp_nonmissing,a_fe_rows,a_fe_year_min,a_fe_year_max,q_period_min,q_period_max,q_rows,q_hpi_yoy_nonmissing,q_air_yoy_nonmissing,q_fe_rows,q_fe_period_min,q_fe_period_max,netmig_latest_year,netmig_latest_source,hpiq_latest_period,hpiq_latest_source
AT,Austria,1949,2025,77,15,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,59,91,59,2011Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
AU,Australia,1960,2025,66,20,66,65,35,18,2003.0,2025.0,2002Q1,2021Q4,80,76,0,0,,,2025,carry_forward_latest,2021Q4,panel_base
BE,Belgium,1949,2025,77,20,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,79,91,79,2006Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
BG,Bulgaria,1949,2025,77,20,13,45,35,13,2013.0,2025.0,1993Q1,2025Q4,132,79,72,71,2008Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
BR,Brazil,1960,2025,66,24,66,65,35,23,2002.0,2025.0,2001Q2,2025Q3,98,94,0,0,,,2025,carry_forward_latest,2025Q3,panel_base
CA,Canada,1960,2025,66,36,66,65,35,28,1991.0,2025.0,1990Q1,2025Q3,143,143,0,0,,,2025,carry_forward_latest,2025Q3,panel_base
CH,Switzerland,1960,2025,66,25,66,65,35,17,2008.0,2025.0,2000Q1,2025Q3,103,99,0,0,,,2025,carry_forward_latest,2025Q3,panel_base
CL,Chile,1960,2025,66,23,66,65,35,17,2003.0,2025.0,2002Q1,2025Q2,94,90,0,0,,,2025,carry_forward_latest,2025Q2,panel_base
CN,China,1960,2025,66,20,66,65,35,19,2006.0,2025.0,2005Q2,2025Q1,80,76,0,0,,,2025,carry_forward_latest,2025Q1,panel_base
CO,Colombia,1960,2025,66,36,66,65,35,34,1991.0,2025.0,1990Q1,2025Q2,142,142,0,0,,,2025,carry_forward_latest,2025Q2,panel_base
CY,Cyprus,1949,2025,77,20,13,50,35,13,2013.0,2025.0,1993Q1,2025Q4,132,79,87,79,2006Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
CZ,Czechia,1949,2025,77,17,13,35,35,13,2013.0,2025.0,1993Q1,2025Q4,132,67,91,67,2009Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
DE,Germany,1949,2025,77,25,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,99,92,91,2003Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
DK,Denmark,1949,2025,77,33,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,131,88,87,2004Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
EE,Estonia,1949,2025,77,20,13,35,35,6,2020.0,2025.0,1993Q1,2025Q4,132,79,83,79,2006Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
EL,Greece,1960,2025,66,19,66,65,35,0,,,2006Q1,2025Q3,79,75,0,0,,,2025,carry_forward_latest,2025Q3,panel_base
ES,Spain,1949,2025,77,20,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,76,100,76,2006Q4,2025Q3,2025,wb_net_migration,2025Q3,panel_base
FI,Finland,1949,2025,77,20,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,79,104,79,2006Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
FR,France,1949,2025,77,29,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,115,90,90,2003Q1,2025Q2,2025,wb_net_migration,2025Q3,panel_base
HR,Croatia,1949,2025,77,23,13,35,35,13,2013.0,2025.0,1993Q1,2025Q4,132,91,67,67,2009Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
HU,Hungary,1949,2025,77,18,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,71,92,71,2008Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
IE,Ireland,1949,2025,77,20,13,65,35,13,2013.0,2025.0,1993Q1,2025Q4,132,79,95,79,2006Q1,2025Q3,2025,wb_net_migration,2025Q3,panel_base
IL,Israel,1960,2025,66,31,66,65,35,11,2013.0,2025.0,1994Q1,2025Q3,127,123,0,0,,,2025,carry_forward_latest,2025Q3,panel_base
IN,India,1960,2025,66,16,66,65,35,14,2010.0,2025.0,2009Q1,2025Q1,65,61,0,0,,,2025,carry_forward_latest,2025Q1,panel_base
