geo,n_hpi_growth_2010plus,n_net_migration_rate_2010plus,n_air_passengers_2010plus,n_gdp_pc_growth_2010plus,n_unemployment_rate_2010plus,n_inflation_hicp_2010plus,n_long_rate_2010plus,core_min_obs_2010plus,core_mean_obs_2010plus,headline_min_obs_2010plus
AD,0,5,0,0,0,0,0,0,0.7142857142857143,0
AL,0,11,0,9,0,9,0,0,4.142857142857143,0
AM,0,8,0,0,0,0,0,0,1.1428571428571428,0
AT,14,12,15,12,15,16,16,12,14.285714285714286,12
AZ,0,12,0,0,0,0,0,0,1.7142857142857142,0
BA,0,8,4,11,4,0,0,0,3.857142857142857,0
BE,15,12,15,12,15,16,16,12,14.428571428571429,12
BG,15,12,16,11,15,16,16,11,14.428571428571429,12
BY,0,6,0,0,0,0,0,0,0.8571428571428571,0
CH,7,12,16,11,15,16,0,0,11.0,7
CY,15,12,15,12,15,16,16,12,14.428571428571429,12
CZ,15,12,15,12,15,16,16,12,14.428571428571429,12
DE,15,12,16,12,15,16,16,12,14.571428571428571,12
DK,15,12,16,12,15,16,16,12,14.571428571428571,12
EA,15,0,0,0,0,16,16,0,6.714285714285714,0
EE,15,12,15,12,15,16,6,6,13.0,12
EL,0,12,15,11,15,16,16,0,12.142857142857142,0
ES,15,12,16,12,15,16,16,12,14.571428571428571,12
EU,15,0,0,0,0,16,0,0,4.428571428571429,0
FI,15,12,16,12,15,16,16,12,14.571428571428571,12
FR,15,12,15,12,15,16,16,12,14.428571428571429,12
GE,0,11,0,0,0,0,0,0,1.5714285714285714,0
HR,15,12,15,12,15,16,16,12,14.428571428571429,12
HU,15,12,16,12,15,16,16,12,14.571428571428571,12
IE,15,12,15,12,15,16,16,12,14.428571428571429,12
IS,15,12,16,11,15,16,0,0,12.142857142857142,12
IT,14,12,15,12,15,16,16,12,14.285714285714286,12
LI,0,12,0,0,0,0,0,0,1.7142857142857142,0
LT,15,12,16,12,15,16,16,12,14.571428571428571,12
LU,15,12,16,11,15,16,16,11,14.428571428571429,12
LV,15,12,16,12,15,16,16,12,14.571428571428571,12
MC,0,4,0,0,0,0,0,0,0.5714285714285714,0
MD,0,12,0,0,0,0,0,0,1.7142857142857142,0
ME,0,12,9,11,10,10,0,0,7.428571428571429,0
MK,0,12,10,11,15,16,0,0,9.142857142857142,0
MT,15,12,15,12,15,16,16,12,14.428571428571429,12
NL,15,12,16,12,15,16,16,12,14.571428571428571,12
NO,15,12,15,12,15,16,0,0,12.142857142857142,12
PL,14,12,15,12,15,16,16,12,14.285714285714286,12
PT,15,12,15,12,15,16,16,12,14.428571428571429,12
RO,15,12,15,11,15,16,16,11,14.285714285714286,12
RS,0,12,9,11,15,16,0,0,9.0,0
SE,15,12,15,12,15,16,16,12,14.428571428571429,12
SI,15,12,16,12,15,16,16,12,14.571428571428571,12
SK,15,12,16,11,15,16,16,11,14.428571428571429,12
SM,0,9,0,0,0,0,0,0,1.2857142857142858,0
TR,14,10,2,11,15,16,0,0,9.714285714285714,2
UA,0,7,0,0,0,0,0,0,1.0,0
UK,10,7,10,6,0,10,15,0,8.285714285714286,7
US,0,0,0,0,0,15,0,0,2.142857142857143,0
XK,0,9,0,0,0,9,0,0,2.5714285714285716,0
