geo,panel_min_year,panel_max_year,last_hpi_growth,last_net_migration_rate,last_air_growth,last_gdp_pc_growth,last_unemployment_rate,last_inflation_hicp,last_long_rate,last_pop_growth,last_origin_income_hump,last_network_stock_per_1000,last_network_hhi,last_asylum_share_inflows,last_naturalization_rate_per_1000
AT,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
AU,1960,2025,2021,2024,2023,2024,2025,2024,2019.0,2024,,,,,
BE,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2023.0,2023.0,2023.0,2023.0,2023.0
BG,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2023.0,2023.0,2023.0,2023.0,2023.0
BR,1960,2025,2025,2024,2023,2024,2025,2024,2024.0,2024,,,,,
CL,1960,2025,2025,2024,2023,2024,2025,2024,2018.0,2024,,,,,
CN,1960,2025,2025,2024,2023,2024,2025,2024,2024.0,2024,,,,,
CY,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,,,,2024.0,2023.0
CZ,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2023.0,2023.0,2023.0,2023.0,2023.0
DE,1949,2025,2025,2025,2025,2025,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
DK,1949,2025,2025,2025,2025,2025,2025,2025,2025.0,2025,2021.0,2021.0,2021.0,2024.0,2023.0
EE,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
ES,1949,2025,2025,2025,2025,2025,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
FI,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
FR,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
HR,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
HU,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2022.0,2022.0,2022.0,2024.0,2023.0
IE,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2010.0,2010.0,2010.0,2024.0,2023.0
IL,1960,2025,2025,2024,2023,2024,2025,2024,2022.0,2024,,,,,
IN,1960,2025,2025,2024,2023,2024,2025,2024,2022.0,2024,,,,,
IS,1993,2025,2025,2025,2025,2024,2025,2025,2024.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
IT,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
JP,1960,2025,2025,2024,2023,2024,2025,2024,2017.0,2024,,,,,
LT,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
LU,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2007.0,2007.0,2007.0,2024.0,2023.0
LV,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2019.0,2019.0,2019.0,2024.0,2023.0
MT,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,,,,2024.0,2023.0
MX,1960,2025,2025,2024,2023,2024,2025,2024,2024.0,2024,,,,,
NL,1949,2025,2025,2025,2025,2025,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
NO,1993,2025,2025,2025,2025,2024,2025,2025,2024.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
NZ,1960,2025,2025,2024,2023,2024,2025,2024,2017.0,2024,,,,,
PL,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2019.0,2019.0,2019.0,2023.0,2023.0
PT,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,,,,2023.0,2023.0
RO,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2023.0,2023.0,2023.0,2023.0,2023.0
SA,1960,2025,2024,2024,2023,2024,2025,2024,,2024,,,,,
SE,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
SI,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
SK,1949,2025,2025,2025,2025,2024,2025,2025,2025.0,2025,2024.0,2024.0,2024.0,2024.0,2023.0
TR,1960,2025,2025,2024,2023,2024,2025,2024,,2024,,,,,2007.0
UK,1949,2025,2025,2025,2019,2024,2025,2024,2024.0,2024,2024.0,2025.0,2025.0,2019.0,2019.0
