geo,country_name,base_hpi_nonmissing,harmonized_hpi_nonmissing,delta_hpi_nonmissing,base_netmig_nonmissing,harmonized_netmig_nonmissing,delta_netmig_nonmissing,base_gdp_nonmissing,harmonized_gdp_nonmissing,delta_gdp_nonmissing,base_unemp_nonmissing,harmonized_unemp_nonmissing,delta_unemp_nonmissing,base_long_nonmissing,harmonized_long_nonmissing,delta_long_nonmissing
AT,Austria,14,15,1,12,13,1,12,65,53,16,35,19,41,41,0
AU,Australia,19,20,1,65,66,1,64,65,1,35,35,0,60,61,1
BE,Belgium,19,20,1,12,13,1,12,65,53,16,35,19,48,48,0
BG,Bulgaria,19,20,1,12,13,1,11,45,34,16,35,19,23,34,11
BR,Brazil,22,24,2,65,66,1,64,65,1,35,35,0,28,29,1
CA,Canada,35,36,1,65,66,1,64,65,1,35,35,0,58,59,1
CH,Switzerland,24,25,1,65,66,1,64,65,1,35,35,0,17,18,1
CL,Chile,22,23,1,65,66,1,64,65,1,35,35,0,34,35,1
CN,China,18,20,2,65,66,1,64,65,1,35,35,0,45,46,1
CO,Colombia,35,36,1,65,66,1,64,65,1,35,35,0,39,40,1
CY,Cyprus,19,20,1,12,13,1,12,50,38,16,35,19,25,25,0
CZ,Czechia,16,17,1,12,13,1,12,35,23,16,35,19,25,33,8
DE,Germany,19,25,6,12,13,1,12,65,53,16,35,19,59,59,0
DK,Denmark,19,33,14,12,13,1,12,65,53,16,35,19,43,43,0
EE,Estonia,19,20,1,12,13,1,12,35,23,16,35,19,6,6,0
EL,Greece,18,19,1,65,66,1,64,65,1,35,35,0,0,0,0
ES,Spain,18,20,2,12,13,1,12,65,53,16,35,19,48,48,0
FI,Finland,19,20,1,12,13,1,12,65,53,16,35,19,39,39,0
FR,France,19,29,10,12,13,1,12,65,53,22,35,13,56,56,0
HR,Croatia,16,23,7,12,13,1,12,35,23,16,35,19,21,33,12
HU,Hungary,17,18,1,12,13,1,12,65,53,16,35,19,25,38,13
IE,Ireland,19,20,1,12,13,1,12,65,53,16,35,19,38,38,0
IL,Israel,30,31,1,65,66,1,64,65,1,35,35,0,10,11,1
IN,India,15,16,1,65,66,1,64,65,1,35,35,0,45,46,1
IS,Iceland,19,24,5,12,13,1,11,33,22,16,33,17,0,33,33
IT,Italy,14,15,1,12,13,1,12,65,53,16,35,19,77,77,0
JP,Japan,15,17,2,65,66,1,64,65,1,35,35,0,25,26,1
KR,"Korea, Rep.",21,22,1,65,66,1,64,65,1,35,35,0,29,30,1
LT,Lithuania,18,19,1,12,13,1,12,35,23,16,35,19,25,25,0
LU,Luxembourg,17,18,1,12,13,1,11,65,54,16,35,19,41,41,0
LV,Latvia,18,19,1,12,13,1,12,35,23,16,35,19,25,25,0
MT,Malta,19,20,1,12,13,1,12,55,43,16,35,19,25,31,6
MX,Mexico,19,20,1,65,66,1,64,65,1,35,35,0,32,33,1
NL,Netherlands,19,30,11,12,13,1,12,65,53,16,35,19,40,40,0
NO,Norway,19,33,14,12,13,1,12,33,21,16,33,17,0,13,13
NZ,New Zealand,35,36,1,65,66,1,64,65,1,35,35,0,20,21,1
PL,Poland,14,20,6,12,21,9,12,35,23,16,35,19,25,25,0
PT,Portugal,16,17,1,12,13,1,12,65,53,16,35,19,40,40,0
RO,Romania,15,16,1,12,13,1,11,35,24,16,35,19,21,33,12
SA,Saudi Arabia,9,11,2,65,66,1,64,65,1,35,35,0,0,0,0
SE,Sweden,19,20,1,12,13,1,12,65,53,20,35,15,39,39,0
SI,Slovenia,17,18,1,12,13,1,12,35,23,16,35,19,24,24,0
SK,Slovak Republic,18,19,1,12,13,1,11,35,24,16,35,19,25,25,0
TR,Turkiye,14,15,1,65,66,1,64,65,1,35,35,0,0,0,0
UK,United Kingdom,14,36,22,7,14,7,6,65,59,0,35,35,41,59,18
US,United States,35,36,1,65,66,1,64,65,1,35,35,0,62,63,1
ZA,South Africa,23,25,2,65,66,1,64,65,1,35,35,0,65,66,1
