geo,avg_share_LATAM_CARIB,avg_share_EU_EEA_CH_UK,avg_share_MENA,nobs,contrib_LATAM_CARIB_pp,contrib_EU_EEA_CH_UK_pp,contrib_MENA_pp,total_comp_effect_pp,dominant_inflow_group,dominant_positive_channel,dominant_negative_channel,direction,top_origin_LATAM_CARIB,top_origin_share_LATAM_CARIB,top_origin_EU_EEA_CH_UK,top_origin_share_EU_EEA_CH_UK,top_origin_MENA,top_origin_share_MENA,top_origin_window
SE,0.03146886121261645,0.4220590497308429,0.18672129766077022,27,0.11324492764322387,-0.21774804281046084,1.5130372409381994,1.4085341257709625,EU_EEA_CH_UK,MENA,EU_EEA_CH_UK,Increase,BR,0.33761801842793765,DE,0.11282993410864224,IR,0.2037347313803913,2019--2025
BE,0.028950065783389337,0.5639028248130066,0.10974235547747804,13,0.1328605907524795,0.18538974451094706,0.5768196279531644,0.895069963216591,EU_EEA_CH_UK,MENA,LATAM_CARIB,Increase,BR,0.27309007981755984,FR,0.1954197088567412,MA,0.2985023870250474,2019--2025
LU,0.00708050341812305,0.9361591950723381,0.005035243940532131,5,0.30317452840939835,1.2433890069792264,-0.6966278791880006,0.8499356562006241,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,,,,,,,2019--2025
AT,0.017738638998202758,0.5832320021106171,0.07434609014340039,24,0.22017199692721057,0.24032568908791674,0.1463303785588326,0.6068280645739599,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,BR,0.2848079851125021,DE,0.2854502944273382,SY,0.6922300582161012,2019--2025
SK,0.006665496007174362,0.764312689840475,0.020732349251836122,26,0.3064064882051615,0.7549797000642028,-0.5057197418647861,0.5556664464045782,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,MX,0.2551440329218107,CZ,0.32722084971641324,AE,0.35413642960812775,2019--2025
DE,0.0275678609008601,0.48024739560204444,0.09608588223643275,20,0.1436248096362581,-0.05236947058322806,0.41072965039693304,0.5019849894499631,EU_EEA_CH_UK,MENA,EU_EEA_CH_UK,Increase,BR,0.2706608495872294,RO,0.22517697410259624,SY,0.4429110106742811,2019--2025
IS,0.020283498208665388,0.7860584603462871,0.01874304215021941,22,0.20035335649548694,0.8167839054319336,-0.529913687551065,0.48722357437635555,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,VE,0.6745641484130532,PL,0.29166202331334834,PS,0.3221415607985481,2019--2025
NO,0.025274825635407863,0.5619364107675238,0.0718669137895169,27,0.16148231673779967,0.17980094932557864,0.11617864482007628,0.4574619108834546,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,BR,0.3371384096510572,PL,0.1973107720199426,SY,0.22894642358479275,2019--2025
DK,0.023811695593259626,0.5560548965365436,0.06726550262351687,24,0.17287675777051878,0.16308494869880974,0.06021629906663924,0.39617800553596777,EU_EEA_CH_UK,LATAM_CARIB,MENA,Increase,AR,0.3765336098151028,DE,0.12206668138661957,IR,0.23929935466877386,2019--2025
RO,0.001933047561268718,0.6878527676991609,0.019956743613024276,10,0.3432614520182767,0.537671017938663,-0.5151526548042389,0.36577981515270075,EU_EEA_CH_UK,EU_EEA_CH_UK,MENA,Increase,BR,0.20515499825844655,ES,0.3178124475222506,MA,0.1865229705373892,2019--2025
