term,coef,std_err,p_value,nobs,r2_within,model
Intercept,2.8174903915906837,3.3394750635472823,0.3996197502488561,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_net_migration_rate_harmonized,0.10151935823031835,0.019232634205052487,2.7571970129258716e-07,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_air_growth_harmonized,0.038143373106824516,0.05975564818278599,0.5238277857832725,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_gdp_pc_growth_harmonized,0.8695645529764924,0.23915478389452755,0.00033401470676586165,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_unemployment_rate_harmonized,0.12918143217953607,0.563920714769094,0.8189896242234078,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_inflation_hicp_harmonized,0.18703654879104398,0.29281657196730504,0.5235501030973659,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_long_rate_harmonized,-0.37481549345874815,0.4350931720890413,0.38978141481946693,336.0,-0.24157637969698054,annual_hetero_pop_slow
L1_pop_growth_harmonized,1.1916309886218315,0.7884289275575254,0.13190584730904797,336.0,-0.24157637969698054,annual_hetero_pop_slow
Intercept,6.09597769305252,2.7098950833065336,0.025378621261856082,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_net_migration_rate_harmonized,0.13454615463823208,0.05128477292676036,0.009255891975815889,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_air_growth_harmonized,-0.0019870211527454225,0.027204280610841087,0.9418340206789428,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_gdp_pc_growth_harmonized,0.5180815712978705,0.24063650612544776,0.03231029995567636,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_unemployment_rate_harmonized,-0.14914610935766354,0.16272454890036653,0.36028798586357436,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_inflation_hicp_harmonized,0.051858759598536225,0.44902849120397664,0.9081517089065159,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_long_rate_harmonized,0.009740988873256683,0.13924485978538742,0.9442865932858109,316.0,0.024513328607292384,annual_hetero_pop_fast
L1_pop_growth_harmonized,-0.23572482949454515,0.7914974466222874,0.7660950475781512,316.0,0.024513328607292384,annual_hetero_pop_fast
Intercept,6.019731442683702,2.441247565914627,0.013964587291450004,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_net_migration_rate_harmonized,0.03603389402944496,0.07469985863710969,0.6297208443266848,652.0,-0.16852166398282176,annual_hetero_pop_interaction
fast_pop_growth,-0.7180870731890829,1.325835453862511,0.5882996376833556,652.0,-0.16852166398282176,annual_hetero_pop_interaction
mig_x_fast_pop,0.10598903191428713,0.08692987939163158,0.2232581570803751,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_air_growth_harmonized,0.021419831807712255,0.038516876992910974,0.5783516817457457,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_gdp_pc_growth_harmonized,0.7207803433178914,0.2139478813527243,0.0008058811401658872,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_unemployment_rate_harmonized,-0.4450355021187178,0.2693902356877322,0.09908702345823994,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_inflation_hicp_harmonized,0.3052434288514602,0.19790438975235278,0.12354058462576578,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_long_rate_harmonized,0.07836786724246614,0.10993034133758077,0.4762097250661981,652.0,-0.16852166398282176,annual_hetero_pop_interaction
L1_pop_growth_harmonized,0.2747695513359992,0.446874761349389,0.5388881769819389,652.0,-0.16852166398282176,annual_hetero_pop_interaction
