geo,year,hpi_growth_harmonized,net_migration_rate_harmonized,gdp_pc_growth_harmonized,unemployment_rate_harmonized
PL,1949,,,,
PL,1950,,,,
PL,1951,,,,
PL,1952,,,,
PL,1953,,,,
PL,1954,,,,
PL,1955,,,,
PL,1956,,,,
PL,1957,,,,
PL,1958,,,,
PL,1959,,,,
PL,1960,,,,
PL,1961,,,,
PL,1962,,,,
PL,1963,,,,
PL,1964,,,,
PL,1965,,,,
PL,1966,,,,
PL,1967,,,,
PL,1968,,,,
PL,1969,,,,
PL,1970,,,,
PL,1971,,,,
PL,1972,,,,
PL,1973,,,,
PL,1974,,,,
PL,1975,,,,
PL,1976,,,,
PL,1977,,,,
PL,1978,,,,
PL,1979,,,,
PL,1980,,,,
PL,1981,,,,
PL,1982,,,,
PL,1983,,,,
PL,1984,,,,
PL,1985,,,,
PL,1986,,,,
PL,1987,,,,
PL,1988,,,,
PL,1989,,,,
PL,1990,,,,
PL,1991,,,-7.34479099617246,13.621
PL,1992,,,2.2010658533475,13.645
PL,1993,,,3.47468275954095,14.393
PL,1994,,,5.07085552254539,14.825
PL,1995,,,7.78327567268047,13.695
PL,1996,,,6.01319811600105,12.684
PL,1997,,,6.28931151450062,10.964
PL,1998,,,4.58421234371184,9.935
PL,1999,,,4.70787806733438,12.29
PL,2000,,,5.75502267661936,14.928
PL,2001,,,1.26167597595419,18.435
PL,2002,,,1.94840486282048,20.211
PL,2003,,,3.59326547651193,19.899
PL,2004,,,5.15230495657681,18.822
PL,2005,,-0.33742564772924827,3.30621477152089,17.592
PL,2006,36.622,-0.9473728284904641,6.26942932351373,13.794
PL,2007,48.752,-0.5373740574640037,6.81843988104569,9.551
PL,2008,-0.791,-0.3898938772602534,4.36953645222033,7.069
PL,2009,-2.787,-0.03134861725207195,2.54561682473884,8.5
PL,2010,-3.79,-0.05556899947990151,3.46400853867873,10.0
PL,2011,0.1,-0.11386309447260881,5.19888222323388,10.0
PL,2012,-3.5,-0.17384261592126182,1.51202436704637,10.4
PL,2013,-4.4,-0.7,0.745031977271424,10.6
PL,2014,1.0,-0.3,4.0,9.2
PL,2015,1.5,-0.3,4.5,7.7
PL,2016,1.9,0.3,3.1,6.3
PL,2017,3.9,0.1,5.1,5.0
