geo,year,origin_group,immigration_case,od_total,source,share
ES,1998,EAST_SE_ASIA,799.0,79802.0,od_prev_residence,0.010012280393975089
ES,1998,EU_EEA_CH_UK,37288.0,79802.0,od_prev_residence,0.4672564597378512
ES,1998,LATAM_CARIB,22394.0,79802.0,od_prev_residence,0.2806195333450289
ES,1998,MENA,12267.0,79802.0,od_prev_residence,0.1537179519310293
ES,1998,NON_EUROPE_EUR_CIS,1072.0,79802.0,od_prev_residence,0.013433247287035413
ES,1998,N_AMERICA,2092.0,79802.0,od_prev_residence,0.026214881832535526
ES,1998,OCEANIA,396.0,79802.0,od_prev_residence,0.004962281647076515
ES,1998,OTHER,823.0,79802.0,od_prev_residence,0.01031302473622215
ES,1998,SOUTH_ASIA,611.0,79802.0,od_prev_residence,0.007656449713039773
ES,1998,SSA,2060.0,79802.0,od_prev_residence,0.02581388937620611
ES,1999,EAST_SE_ASIA,1008.0,124714.0,od_prev_residence,0.008082492743396893
ES,1999,EU_EEA_CH_UK,51202.0,124714.0,od_prev_residence,0.4105553506422695
ES,1999,LATAM_CARIB,43747.0,124714.0,od_prev_residence,0.35077858139423
ES,1999,MENA,17284.0,124714.0,od_prev_residence,0.1385890918421348
ES,1999,NON_EUROPE_EUR_CIS,2393.0,124714.0,od_prev_residence,0.019187901919592028
ES,1999,N_AMERICA,2816.0,124714.0,od_prev_residence,0.022579662267267507
ES,1999,OCEANIA,365.0,124714.0,od_prev_residence,0.0029266962810911364
ES,1999,OTHER,755.0,124714.0,od_prev_residence,0.0060538512115720765
ES,1999,SOUTH_ASIA,773.0,124714.0,od_prev_residence,0.006198181439132736
ES,1999,SSA,4371.0,124714.0,od_prev_residence,0.03504819025931331
ES,2000,EAST_SE_ASIA,1810.0,357108.0,od_prev_residence,0.005068494685081264
ES,2000,EU_EEA_CH_UK,87119.0,357108.0,od_prev_residence,0.24395701020419594
ES,2000,LATAM_CARIB,191947.0,357108.0,od_prev_residence,0.5375040603962947
ES,2000,MENA,44246.0,357108.0,od_prev_residence,0.12390089272713017
ES,2000,NON_EUROPE_EUR_CIS,12788.0,357108.0,od_prev_residence,0.03580989504575646
ES,2000,N_AMERICA,3183.0,357108.0,od_prev_residence,0.00891326993514567
ES,2000,OCEANIA,433.0,357108.0,od_prev_residence,0.0012125183417901588
ES,2000,OTHER,814.0,357108.0,od_prev_residence,0.0022794224716332313
ES,2000,SOUTH_ASIA,2659.0,357108.0,od_prev_residence,0.007445926722448111
ES,2000,SSA,12109.0,357108.0,od_prev_residence,0.033908509470524324
ES,2001,EAST_SE_ASIA,1886.0,408936.0,od_prev_residence,0.00461196862100671
ES,2001,EU_EEA_CH_UK,101567.0,408936.0,od_prev_residence,0.24836893792671713
ES,2001,LATAM_CARIB,222185.0,408936.0,od_prev_residence,0.5433246278146213
ES,2001,MENA,46423.0,408936.0,od_prev_residence,0.11352143122640218
ES,2001,NON_EUROPE_EUR_CIS,18776.0,408936.0,od_prev_residence,0.0459142750943913
ES,2001,N_AMERICA,3133.0,408936.0,od_prev_residence,0.007661345540622494
ES,2001,OCEANIA,367.0,408936.0,od_prev_residence,0.0008974509458692803
ES,2001,OTHER,582.0,408936.0,od_prev_residence,0.0014232055871823465
ES,2001,SOUTH_ASIA,3006.0,408936.0,od_prev_residence,0.007350783496684078
ES,2001,SSA,11011.0,408936.0,od_prev_residence,0.02692597374650312
ES,2002,EAST_SE_ASIA,2012.0,476839.0,od_prev_residence,0.00421945352624261
ES,2002,EU_EEA_CH_UK,148027.0,476839.0,od_prev_residence,0.31043392004429166
ES,2002,LATAM_CARIB,241548.0,476839.0,od_prev_residence,0.5065609146902833
ES,2002,MENA,42335.0,476839.0,od_prev_residence,0.08878258699477182
ES,2002,NON_EUROPE_EUR_CIS,19304.0,476839.0,od_prev_residence,0.040483265840252164
ES,2002,N_AMERICA,4512.0,476839.0,od_prev_residence,0.009462313275550029
ES,2002,OCEANIA,438.0,476839.0,od_prev_residence,0.0009185490280786597
ES,2002,OTHER,722.0,476839.0,od_prev_residence,0.0015141378955999824
ES,2002,SOUTH_ASIA,3049.0,476839.0,od_prev_residence,0.006394191750255327
ES,2002,SSA,14892.0,476839.0,od_prev_residence,0.03123066695467443
ES,2004,EAST_SE_ASIA,17668.0,558389.0,od_prev_residence,0.03164102444711483
ES,2004,EU_EEA_CH_UK,227802.0,558389.0,od_prev_residence,0.4079629075787668
ES,2004,LATAM_CARIB,183487.0,558389.0,od_prev_residence,0.32860067085848754
ES,2004,MENA,65957.0,558389.0,od_prev_residence,0.11812016354190358
ES,2004,NON_EUROPE_EUR_CIS,22083.0,558389.0,od_prev_residence,0.03954769882644536
