geo,year,origin,immigration_case,od_total,source,share
ES,1998,AR,2540.0,79802.0,od_prev_residence,0.03182877622114734
ES,1998,CO,2745.0,79802.0,od_prev_residence,0.03439763414450766
ES,1998,FR,5686.0,79802.0,od_prev_residence,0.07125134708403298
ES,1998,IN,259.0,79802.0,od_prev_residence,0.0032455326934162053
ES,1998,MA,10995.0,79802.0,od_prev_residence,0.13777850179193504
ES,1998,NG,178.0,79802.0,od_prev_residence,0.0022305205383323728
ES,1998,PE,2310.0,79802.0,od_prev_residence,0.028946642941279667
ES,1998,PK,286.0,79802.0,od_prev_residence,0.0035838700784441495
ES,1998,PL,459.0,79802.0,od_prev_residence,0.0057517355454750506
ES,1998,RO,538.0,79802.0,od_prev_residence,0.006741685672038295
ES,1998,UK,5498.0,79802.0,od_prev_residence,0.06889551640309767
ES,1998,US,1803.0,79802.0,od_prev_residence,0.022593418711310494
ES,1998,VE,3348.0,79802.0,od_prev_residence,0.041953835743465076
ES,1999,AR,3870.0,124714.0,od_prev_residence,0.03103099892554164
ES,1999,CO,8349.0,124714.0,od_prev_residence,0.0669451705502189
ES,1999,FR,6702.0,124714.0,od_prev_residence,0.05373895472841862
ES,1999,IN,340.0,124714.0,od_prev_residence,0.0027262376317013326
ES,1999,MA,15377.0,124714.0,od_prev_residence,0.12329810606668057
ES,1999,NG,903.0,124714.0,od_prev_residence,0.007240566415959716
ES,1999,PE,3225.0,124714.0,od_prev_residence,0.0258591657712847
ES,1999,PK,372.0,124714.0,od_prev_residence,0.0029828247029202817
ES,1999,PL,834.0,124714.0,od_prev_residence,0.0066873005436438576
ES,1999,RO,1887.0,124714.0,od_prev_residence,0.015130618855942397
ES,1999,UK,9102.0,124714.0,od_prev_residence,0.07298298506983979
ES,1999,US,2455.0,124714.0,od_prev_residence,0.01968503937007874
ES,1999,VE,4692.0,124714.0,od_prev_residence,0.037622079317478394
ES,2000,AR,10080.0,357108.0,od_prev_residence,0.02822675493128129
ES,2000,CO,47124.0,357108.0,od_prev_residence,0.13196007930374004
ES,2000,FR,7408.0,357108.0,od_prev_residence,0.02074442465584641
ES,2000,IN,686.0,357108.0,od_prev_residence,0.0019209874883788659
ES,2000,MA,38804.0,357108.0,od_prev_residence,0.10866180539220628
ES,2000,NG,2581.0,357108.0,od_prev_residence,0.007227505404527482
ES,2000,PE,6271.0,357108.0,od_prev_residence,0.01756051390615724
ES,2000,PK,1653.0,357108.0,od_prev_residence,0.004628851775933331
ES,2000,PL,3851.0,357108.0,od_prev_residence,0.01078385250400439
ES,2000,RO,17696.0,357108.0,od_prev_residence,0.049553636434916046
ES,2000,UK,12385.0,357108.0,od_prev_residence,0.03468138490316655
ES,2000,US,2801.0,357108.0,od_prev_residence,0.007843565531995923
ES,2000,VE,7632.0,357108.0,od_prev_residence,0.02137168587654155
ES,2001,AR,21283.0,408936.0,od_prev_residence,0.05204481874914412
ES,2001,CO,71575.0,408936.0,od_prev_residence,0.17502738814875676
ES,2001,FR,6437.0,408936.0,od_prev_residence,0.015740849423870728
ES,2001,IN,859.0,408936.0,od_prev_residence,0.0021005731948275526
ES,2001,MA,39584.0,408936.0,od_prev_residence,0.09679754289179725
ES,2001,NG,2639.0,408936.0,od_prev_residence,0.006453332550814797
