geo,origin,immig_total_full,immig_total_rank_window,origin_group,source,rank_window_label
ES,CO,1241269.0,786066.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,MA,1395159.0,654763.0,MENA,od_prev_residence,2018--2024
ES,VE,777842.0,507928.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,PE,532128.0,321227.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,AR,574104.0,285454.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,UK,713631.0,261376.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,RO,1174739.0,238934.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,HN,282317.0,189948.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,UA,311370.0,187463.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,IT,378485.0,172850.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,EC,620142.0,164908.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,FR,369457.0,158384.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,CU,292228.0,151449.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,DE,383016.0,146360.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,US,249797.0,129131.0,N_AMERICA,od_prev_residence,2018--2024
ES,BR,347440.0,126403.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,PY,258445.0,114262.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,CN,288923.0,110445.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,PK,206157.0,98367.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,RU,203196.0,89424.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,NI,131054.0,89395.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,DO,261747.0,86492.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,DZ,157264.0,79399.0,MENA,od_prev_residence,2018--2024
ES,MX,164611.0,77927.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,SN,156811.0,76890.0,SSA,od_prev_residence,2018--2024
ES,CL,148516.0,69251.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,PT,215774.0,65144.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,BO,330789.0,63596.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,NL,135393.0,62603.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,IN,107422.0,53865.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,BE,116519.0,53511.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,BG,227839.0,45230.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,CH,107125.0,40349.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,UY,116248.0,38753.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,PL,122596.0,35380.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,IE,58759.0,30381.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,ML,61177.0,30137.0,SSA,od_prev_residence,2018--2024
ES,SE,62331.0,28797.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,PH,64437.0,24597.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,GM,46264.0,21836.0,SSA,od_prev_residence,2018--2024
ES,BD,40281.0,19927.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,GQ,46728.0,17452.0,SSA,od_prev_residence,2018--2024
ES,GH,37967.0,16846.0,SSA,od_prev_residence,2018--2024
ES,NG,63869.0,16257.0,SSA,od_prev_residence,2018--2024
ES,NO,42570.0,15521.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,MD,33968.0,11779.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,DK,26848.0,11167.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,MR,26292.0,10944.0,SSA,od_prev_residence,2018--2024
ES,GN,26129.0,10438.0,SSA,od_prev_residence,2018--2024
ES,LT,35975.0,10239.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,FI,25956.0,9207.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,CA,10625.0,0.0,N_AMERICA,od_prev_residence,2018--2024
ES,AD,9218.0,0.0,OTHER,od_prev_residence,2018--2024
ES,AM,9000.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,AU,8192.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,GE,7538.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,AT,5874.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,CZ,5796.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,HU,5333.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,AO,5283.0,0.0,SSA,od_prev_residence,2018--2024
ES,SK,5248.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,SV,4738.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,GT,4464.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,GW,4218.0,0.0,SSA,od_prev_residence,2018--2024
ES,JP,3905.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,CM,3787.0,0.0,SSA,od_prev_residence,2018--2024
ES,EL,3319.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,PA,3128.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,BY,2765.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,EG,2687.0,0.0,MENA,od_prev_residence,2018--2024
ES,CR,2526.0,0.0,LATAM_CARIB,od_prev_residence,2018--2024
ES,IL,2312.0,0.0,MENA,od_prev_residence,2018--2024
ES,SY,2165.0,0.0,MENA,od_prev_residence,2018--2024
ES,CV,1975.0,0.0,SSA,od_prev_residence,2018--2024
ES,TR,1942.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,LV,1907.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,CI,1837.0,0.0,SSA,od_prev_residence,2018--2024
ES,KR,1815.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,IR,1763.0,0.0,MENA,od_prev_residence,2018--2024
ES,NP,1673.0,0.0,SOUTH_ASIA,od_prev_residence,2018--2024
ES,NZ,1618.0,0.0,OCEANIA,od_prev_residence,2018--2024
ES,CG,1460.0,0.0,SSA,od_prev_residence,2018--2024
ES,TN,1392.0,0.0,MENA,od_prev_residence,2018--2024
ES,HR,1374.0,0.0,EU_EEA_CH_UK,od_prev_residence,2018--2024
ES,SL,1255.0,0.0,SSA,od_prev_residence,2018--2024
ES,ET,1250.0,0.0,SSA,od_prev_residence,2018--2024
ES,AL,1237.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
ES,LB,1201.0,0.0,MENA,od_prev_residence,2018--2024
ES,ZA,1181.0,0.0,SSA,od_prev_residence,2018--2024
ES,TH,1174.0,0.0,EAST_SE_ASIA,od_prev_residence,2018--2024
ES,BA,1097.0,0.0,NON_EUROPE_EUR_CIS,od_prev_residence,2018--2024
