geo,L1_net_migration_rate,L1_origin_income_hump,L1_network_stock_per_1000,L1_network_hhi,L1_asylum_share_inflows,L1_naturalization_rate_per_1000,L1_air_growth,L1_gdp_pc_growth,L1_unemployment_rate,L1_inflation_hicp,L1_long_rate,L1_pop_growth,L1_net_migration_rate:L1_origin_income_hump,contrib__L1_net_migration_rate,contrib__L1_origin_income_hump,contrib__L1_network_stock_per_1000,contrib__L1_network_hhi,contrib__L1_asylum_share_inflows,contrib__L1_naturalization_rate_per_1000,contrib__L1_air_growth,contrib__L1_gdp_pc_growth,contrib__L1_unemployment_rate,contrib__L1_inflation_hicp,contrib__L1_long_rate,contrib__L1_pop_growth,contrib__L1_net_migration_rate:L1_origin_income_hump,pred_hpi_growth_next_year_pp,contrib_migration_system_pp,contrib_macro_air_pp,last_input_data_year,earliest_input_data_year,max_predictor_staleness_years,avg_predictor_staleness_years,projection_target_year,projection_source_year,model,assumption
IE,12.8,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.14444165935580897,3.4649272156611297,4.18026422724278,10.6,4.632,2.1,2.88975,1.634959352892018,-0.3876215738284707,1.7162368459771011,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.7768820148609268,-0.31431571347936643,0.018737201490294658,6.055765027734187,-2.4071623253406504,0.8029008783560321,-2.26806786700957,-1.36954901406573,0.061596071114865716,11.358966965397233,5.094793060510539,0.8326239011645624,2025.0,2010.0,15,4.083333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
NL,6.0,-0.0824167526616496,220.68944992409828,0.02890592930895209,0.12414925071979016,3.194602794373524,2.7810000436446103,1.3,3.874,3.0,2.80112,0.5617881620338494,-0.49450051596989764,0.8044860215517661,0.37604834226002176,6.101682089812001,-0.28073143041104176,0.6677389367639253,-0.28979363608510916,0.012465278587582682,0.742688163778721,-2.0132441382490676,1.1470012547943316,-2.198505152223496,-0.4705905514203155,0.0785799630479246,10.109375145929373,7.458010286939486,-2.7801851447322434,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
AT,5.4,-0.04222687205057424,247.0290159683363,0.05396837796187167,0.17281937812973103,1.3067872539806598,1.539290745689037,0.3,5.582,3.6,2.98216,0.4190796886337722,-0.2280251090731009,0.7240374193965895,0.19267132859061928,6.829925594160859,-0.524135369607642,0.9295120762750939,-0.11854326008470012,0.006899564067304188,0.1713895762566279,-2.9008592616691518,1.3764015057531978,-2.3405973770330513,-0.3510485892925209,0.03623495641823355,9.46343816695359,8.069702745149055,-4.037814581917594,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
DE,5.4,0.20904111826925834,204.4725459971174,0.03833776979637924,0.21302656272021245,2.4036766495584416,3.778355179713344,0.2,3.711,2.3,2.59206,0.14499516514092647,1.128822038653995,0.7240374193965895,-0.9538056699716897,5.6533127079612004,-0.3723325010129884,1.1457671284245083,-0.21804594845883307,0.01693572426422502,0.11425971750441861,-1.9285361375948087,0.8793676286756541,-2.0344209690668142,-0.121457444866624,-0.1793785673026751,8.157253091674292,5.799554569036112,-3.073851481083949,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
BG,6.1,-0.11135263101259013,58.05462773065346,0.10350379014882627,0.23261606852018626,0.061727341955515984,9.17203980650747,3.5,3.536,3.5,3.93,-0.1260746923087197,-0.6792510491767998,0.8178941219109621,0.50807597904863,1.605110178020118,-1.0052182287889802,1.2511296312085876,-0.005599503920382016,0.041111840924201115,1.9995450563273258,-1.8375919651132426,1.3381681305933868,-3.0845252071451204,0.10560841787572632,0.10793825409845707,7.2731967087618,3.279330431577393,-1.4376837265377227,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
LT,8.0,0.14634500377402307,209.2289694933038,0.12797830744887717,0.005690037612113029,0.037098232269232374,7.961963614918766,2.8,6.731,3.4,2.88,0.16525424188689186,1.1707600301921846,1.072648028735688,-0.667737981538625,5.784819601780651,-1.2429122387904237,0.030603967750354216,-0.00336531090518221,0.03568791550038624,1.5996360450618605,-3.4979727141338337,1.2999347554335756,-2.2604154189765766,-0.13842777414988133,-0.18604283906569125,7.258006040424432,4.788013227966771,-2.961557191264469,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
BE,7.2,-0.21333080969078738,143.08566165494466,0.039661265050874014,0.20079668070166826,4.701861464680133,2.6930392814439466,0.5,5.906,3.0,3.17326,0.7001439685328847,-1.5359818297736691,0.9653832258621193,0.9733785273796431,3.9560713904953233,-0.3851861516244385,1.0799884920778196,-0.42652236222228646,0.012071011997003835,0.28564929376104653,-3.0692359010064507,1.1470012547943316,-2.490585358479726,-0.5864864347313286,0.24407941251419424,7.1371564045393825,6.407192534482375,-4.701586133665124,2025.0,2023.0,2,0.5833333333333334,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
PL,0.3314220385550751,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.0480538842447154,0.3206476751098174,11.336152797845264,4.0,2.976,3.3,5.52335,-0.3377399057036712,-0.010036432202043618,0.04443739954195807,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.25845866476766466,-0.029087076439039145,0.050812046213187384,2.2851943500883722,-1.5465706131722314,1.2617013802737647,-4.335092189029262,0.28291306083476986,0.0015948668324900135,6.560305735670818,3.129797696740086,-2.001041964791399,2025.0,2019.0,6,1.75,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
LV,-2.5,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.05407795388068839,0.5359116284895695,-0.024045726720522964,3.6,6.568,3.8,3.27045,-0.985151505685522,0.07570733863837317,-0.33520250897990256,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.2908592296554497,-0.04861442546591784,-0.00010778017896734115,2.056674915079535,-3.413264713479575,1.4528682560728199,-2.566866530205536,0.8252274106572762,-0.012030482639622208,6.535487216274703,2.749405654607019,-1.6454684420544474,2025.0,2019.0,6,1.8333333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
DK,5.3,-0.03028293545534927,130.96707960293733,0.09316342198335767,0.02172545318705517,0.565514186399544,4.173422856223041,2.4,5.529,1.8,2.32731,0.5267712494800847,-0.16049955791335113,0.7106293190373933,0.13817394290578927,3.6210135293874104,-0.9047936302561874,0.11685073351414238,-0.05129977743182126,0.018706536407826588,1.3711166100530232,-2.8733161694318774,0.6882007528765989,-1.826627572478603,-0.44125809249477443,0.025504623195999082,6.02445080900705,3.6560787403527253,-3.0631779350678063,2025.0,2021.0,4,1.3333333333333333,2027,2025,annual_fe_dehaas_core_interactions,Country-specific predictor snapshot as of 2025: each regressor uses latest available value at or before 2025; used as t-1 proxy inputs for target year 2027.
