geo,air_growth,air_growth_source_year,asylum_share_inflows,asylum_share_inflows_source_year,gdp_pc_growth,gdp_pc_growth_source_year,inflation_hicp,inflation_hicp_source_year,long_rate,long_rate_source_year,naturalization_rate_per_1000,naturalization_rate_per_1000_source_year,net_migration_rate,net_migration_rate_source_year,network_hhi,network_hhi_source_year,network_stock_per_1000,network_stock_per_1000_source_year,origin_income_hump,origin_income_hump_source_year,pop_growth,pop_growth_source_year,unemployment_rate,unemployment_rate_source_year,max_predictor_staleness_years,avg_predictor_staleness_years
AT,1.539290745689037,2025,0.17281937812973103,2024.0,0.3,2025,3.6,2025,2.98216,2025.0,1.3067872539806598,2023.0,5.4,2024,0.05396837796187167,2024.0,247.0290159683363,2024.0,-0.04222687205057424,2024.0,0.4190796886337722,2025,5.582,2025,2,0.5833333333333334
BE,2.6930392814439466,2025,0.20079668070166826,2024.0,0.5,2025,3.0,2025,3.17326,2025.0,4.701861464680133,2023.0,7.2,2024,0.039661265050874014,2024.0,143.08566165494466,2024.0,-0.21333080969078738,2024.0,0.7001439685328847,2025,5.906,2025,2,0.5833333333333334
BG,9.17203980650747,2025,0.23261606852018626,2024.0,3.5,2025,3.5,2025,3.93,2025.0,0.061727341955515984,2023.0,6.1,2024,0.10350379014882627,2024.0,58.05462773065346,2024.0,-0.11135263101259013,2024.0,-0.1260746923087197,2025,3.536,2025,2,0.5833333333333334
CZ,6.891331000362655,2025,0.008272132999757889,2024.0,2.5,2025,2.3,2025,4.28686,2025.0,0.4090499318912007,2023.0,3.4,2024,0.40601571523918695,2024.0,85.17236048990166,2024.0,0.7418303967549753,2024.0,0.08202639105228116,2025,2.825,2025,2,0.5833333333333334
DE,3.778355179713344,2025,0.21302656272021245,2024.0,0.2,2025,2.3,2025,2.59206,2025.0,2.4036766495584416,2023.0,5.4,2024,0.03833776979637924,2024.0,204.4725459971174,2024.0,0.20904111826925834,2024.0,0.14499516514092647,2025,3.711,2025,2,0.5833333333333334
DK,4.173422856223041,2025,0.02172545318705517,2024.0,2.4,2025,1.8,2025,2.32731,2025.0,0.565514186399544,2023.0,5.3,2024,0.09316342198335767,2021.0,130.96707960293733,2021.0,-0.03028293545534927,2021.0,0.5267712494800847,2025,5.529,2025,4,1.3333333333333333
EE,-1.0048163556893641,2025,0.07137490608564989,2024.0,0.9,2025,4.8,2025,3.31443,2025.0,0.7892324677644661,2023.0,1.0,2024,0.15462746790073167,2024.0,162.44716069912644,2024.0,0.18584455058619193,2024.0,-0.34189786434719593,2025,8.313,2025,2,0.5833333333333334
ES,4.656801775221453,2025,0.1284183454113966,2024.0,1.8,2025,2.7,2025,3.21381,2025.0,4.995449654625657,2023.0,11.8,2024,0.04497166578310413,2024.0,259.02686143958744,2024.0,0.24233361855463398,2024.0,0.9381847474781324,2025,10.376,2025,2,0.5833333333333334
FI,4.828882601838913,2025,0.035488157586179944,2024.0,-0.2,2025,1.8,2025,2.99698,2025.0,2.1969924352575587,2023.0,8.3,2024,0.04255048008756916,2024.0,130.96707960293733,2024.0,0.24745583717357914,2024.0,0.5715408559970214,2025,9.461,2025,2,0.5833333333333334
FR,4.220037138433419,2025,0.29618627258758035,2024.0,0.6,2025,0.9,2025,3.34979,2025.0,1.424897121601776,2023.0,2.2,2024,0.11394674110633875,2024.0,17.772687079721283,2024.0,-0.5,2024.0,0.2459183386701369,2025,7.542,2025,2,0.5833333333333334
HR,7.212645389288556,2025,0.014206361608728388,2024.0,2.8,2025,4.4,2025,2.99293,2025.0,0.1698306938596596,2023.0,8.1,2024,0.18756773047617928,2024.0,127.42677500869377,2024.0,0.3308595448615742,2024.0,0.3201267625202675,2025,5.002,2025,2,0.5833333333333334
HU,10.523871064962975,2025,0.0003392974281254948,2024.0,0.9,2025,4.4,2025,6.93975,2025.0,0.2530275807354863,2023.0,0.4,2024,0.09316342198335767,2022.0,130.96707960293733,2022.0,-0.03028293545534927,2022.0,-0.47191779292923286,2025,4.521,2025,3,1.0833333333333333
IE,4.18026422724278,2025,0.14444165935580897,2024.0,10.6,2025,2.1,2025,2.88975,2025.0,3.4649272156611297,2023.0,12.8,2024,0.09316342198335767,2010.0,130.96707960293733,2010.0,-0.03028293545534927,2010.0,1.634959352892018,2025,4.632,2025,15,4.083333333333333
IS,-1.9400803826959745,2025,0.18700985320731953,2024.0,-3.1,2025,3.7,2025,12.4573766403134,2025.0,1.673724333218141,2023.0,10.8,2024,0.08584054982277914,2024.0,392.6484812301371,2024.0,-0.22846481876332622,2024.0,1.5205768707836853,2025,3.625,2025,2,0.5833333333333334
IT,5.733586160052558,2025,0.3346450154235212,2024.0,0.6,2025,1.7,2025,3.59284,2025.0,3.6199513939652834,2023.0,4.1,2024,0.04886760508952108,2024.0,97.74261110036198,2024.0,0.23509981069408387,2024.0,-0.0628520814483835,2025,6.391,2025,2,0.5833333333333334
LT,7.961963614918766,2025,0.005690037612113029,2024.0,2.8,2025,3.4,2025,2.88,2025.0,0.037098232269232374,2023.0,8.0,2024,0.12797830744887717,2024.0,209.2289694933038,2024.0,0.14634500377402307,2024.0,0.16525424188689186,2025,6.731,2025,2,0.5833333333333334
LU,2.922594345271712,2025,0.08279883381924198,2024.0,-1.2,2025,2.5,2025,2.90111,2025.0,8.824032360334076,2023.0,11.7,2024,0.09316342198335767,2007.0,130.96707960293733,2007.0,-0.03028293545534927,2007.0,1.4657325099808105,2025,6.343,2025,18,4.833333333333333
LV,-0.024045726720522964,2025,0.05407795388068839,2024.0,3.6,2025,3.8,2025,3.27045,2025.0,0.5359116284895695,2023.0,-2.5,2024,0.09316342198335767,2019.0,130.96707960293733,2019.0,-0.03028293545534927,2019.0,-0.985151505685522,2025,6.568,2025,6,1.8333333333333333
NL,2.7810000436446103,2025,0.12414925071979016,2024.0,1.3,2025,3.0,2025,2.80112,2025.0,3.194602794373524,2023.0,6.0,2024,0.02890592930895209,2024.0,220.68944992409828,2024.0,-0.0824167526616496,2024.0,0.5617881620338494,2025,3.874,2025,2,0.5833333333333334
NO,3.4502471857213854,2025,0.07249118452714258,2024.0,0.4,2025,2.8,2025,6.1475,2025.0,6.8027161310727084,2023.0,6.2,2024,0.0389720224894175,2024.0,244.17459713737318,2024.0,0.1467741423629844,2024.0,0.7918346246189145,2025,4.637,2025,2,0.5833333333333334
PL,11.336152797845264,2025,0.0480538842447154,2024.0,4.0,2025,3.3,2025,5.52335,2025.0,0.3206476751098174,2023.0,0.3314220385550751,2025,0.09316342198335767,2019.0,130.96707960293733,2019.0,-0.03028293545534927,2019.0,-0.3377399057036712,2025,2.976,2025,6,1.75
PT,4.596832421182739,2025,0.013756356704177602,2023.0,0.8,2025,2.2,2025,3.07583,2025.0,1.6150624806199634,2023.0,13.4,2024,0.09316342198335767,2008.0,130.96707960293733,2008.0,-0.03028293545534927,2008.0,1.0277068806651357,2025,6.164,2025,17,4.666666666666667
RO,5.916174460578875,2025,0.007904710718997131,2024.0,1.0,2025,6.8,2025,6.9585,2025.0,0.6597375072869742,2023.0,3.7,2024,0.12647108788966527,2024.0,87.57133051416709,2024.0,-0.11529645703113428,2024.0,-0.16557491371749222,2025,5.992,2025,2,0.5833333333333334
SE,-0.08079583041507021,2025,0.05839221322409356,2024.0,1.1,2025,2.6,2025,2.44662,2025.0,6.442868336204265,2023.0,2.7,2024,0.0261360012335866,2024.0,228.09399464939654,2024.0,0.2060960674921758,2024.0,0.3406246710628835,2025,8.694,2025,2,0.5833333333333334
SI,10.153813656563848,2025,0.16549071859007358,2024.0,0.8,2025,2.5,2025,3.1024,2025.0,0.7789427540846076,2023.0,5.4,2024,0.15771222782378982,2024.0,180.63475158772647,2024.0,0.578050857768585,2024.0,0.3243869358538376,2025,3.175,2025,2,0.5833333333333334
SK,18.897050418528494,2025,0.019783118405627197,2024.0,1.9,2025,4.2,2025,3.42929,2025.0,0.1016800791041543,2023.0,0.4,2024,0.09316342198335767,2024.0,23.699063190189587,2024.0,-0.03028293545534927,2024.0,-0.09656831012101463,2025,5.359,2025,2,0.5833333333333334
