geo,origin,immig_total_full,immig_total_rank_window,origin_group,source,rank_window_label,rank
ES,CO,1241269.0,786066.0,LATAM_CARIB,od_prev_residence,2018--2024,1
ES,MA,1395159.0,654763.0,MENA,od_prev_residence,2018--2024,2
ES,VE,777842.0,507928.0,LATAM_CARIB,od_prev_residence,2018--2024,3
ES,PE,532128.0,321227.0,LATAM_CARIB,od_prev_residence,2018--2024,4
ES,AR,574104.0,285454.0,LATAM_CARIB,od_prev_residence,2018--2024,5
ES,UK,713631.0,261376.0,EU_EEA_CH_UK,od_prev_residence,2018--2024,6
ES,RO,1174739.0,238934.0,EU_EEA_CH_UK,od_prev_residence,2018--2024,7
ES,HN,282317.0,189948.0,LATAM_CARIB,od_prev_residence,2018--2024,8
UK,IN,1584995.3049655785,762475.6903204386,SOUTH_ASIA,multi_source_blend,2018--2024,1
UK,CN,1384872.217036924,738041.1202492607,EAST_SE_ASIA,multi_source_blend,2018--2024,2
UK,US,932649.0867216376,357942.1076113391,N_AMERICA,multi_source_blend,2018--2024,3
UK,AU,932344.2845218309,331111.8368875545,OCEANIA,multi_source_blend,2018--2024,4
UK,RO,500232.8814900359,228084.3717727451,EU_EEA_CH_UK,multi_source_blend,2018--2024,5
UK,PK,504830.5635123375,168549.3675255451,SOUTH_ASIA,multi_source_blend,2018--2024,6
UK,IT,366491.8329287857,151426.9831627588,EU_EEA_CH_UK,multi_source_blend,2018--2024,7
UK,ES,486365.2027602648,147357.62192650666,EU_EEA_CH_UK,multi_source_blend,2018--2024,8
