row_order,row_kind,row_label,col_key,display,source_model,source_term,coef,std_err,p_value
1.0,coef,Lagged net migration rate,m1,-0.015,,L1_net_migration_rate,-0.014520039940298,0.0447443403718189,0.7458636411213555
1.0,coef,Lagged net migration rate,m2,0.134,,L1_net_migration_rate,0.1340907639271716,0.1127697775029413,0.2357190313833319
1.001,se,,m1,(0.045),,L1_net_migration_rate,-0.014520039940298,0.0447443403718189,0.7458636411213555
1.001,se,,m2,(0.113),,L1_net_migration_rate,0.1340907639271716,0.1127697775029413,0.2357190313833319
2.0,coef,Lagged air-passenger growth,m1,-0.009,,L1_air_growth,-0.0085511382946793,,
2.0,coef,Lagged air-passenger growth,m2,0.002,,L1_air_growth,0.0015970172826944,0.0061880501016428,0.79659023341935
2.001,se,,m1,,,L1_air_growth,-0.0085511382946793,,
2.001,se,,m2,(0.006),,L1_air_growth,0.0015970172826944,0.0061880501016428,0.79659023341935
3.0,coef,Lagged unemployment rate,m1,0.532***,,L1_unemployment_rate,0.5320627015574126,0.1477030140472769,0.0003911199503086
3.0,coef,Lagged unemployment rate,m2,0.526***,,L1_unemployment_rate,0.5259165939304324,0.1555953874109171,0.0008599933412278
3.001,se,,m1,(0.148),,L1_unemployment_rate,0.5320627015574126,0.1477030140472769,0.0003911199503086
3.001,se,,m2,(0.156),,L1_unemployment_rate,0.5259165939304324,0.1555953874109171,0.0008599933412278
4.0,coef,Lagged GDP per-capita growth,m1,0.230***,,L1_gdp_pc_growth,0.2303491940368433,0.0227426758582501,0.0
4.0,coef,Lagged GDP per-capita growth,m2,0.208***,,L1_gdp_pc_growth,0.2083033671111034,0.0260678327813592,7.971401316808625e-14
4.001,se,,m1,(0.023),,L1_gdp_pc_growth,0.2303491940368433,0.0227426758582501,0.0
4.001,se,,m2,(0.026),,L1_gdp_pc_growth,0.2083033671111034,0.0260678327813592,7.971401316808625e-14
5.0,coef,Lagged migration × post-2020,m1,,,L1_net_migration_rate:post_2020,,,
5.0,coef,Lagged migration × post-2020,m2,-0.154,,L1_net_migration_rate:post_2020,-0.153550039075346,0.1333111641208507,0.2506696370657653
5.001,se,,m1,,,L1_net_migration_rate:post_2020,,,
5.001,se,,m2,(0.133),,L1_net_migration_rate:post_2020,-0.153550039075346,0.1333111641208507,0.2506696370657653
6.0,coef,Lagged air growth × post-2020,m1,,,L1_air_growth:post_2020,,,
6.0,coef,Lagged air growth × post-2020,m2,-0.011,,L1_air_growth:post_2020,-0.0109348265436007,0.0094481472109696,0.2484070414285373
6.001,se,,m1,,,L1_air_growth:post_2020,,,
6.001,se,,m2,(0.009),,L1_air_growth:post_2020,-0.0109348265436007,0.0094481472109696,0.2484070414285373
90.0,midrule,,m1,,,,,,
90.0,midrule,,m2,,,,,,
91.0,stat,Region FE,m1,Yes,,,,,
91.0,stat,Region FE,m2,Yes,,,,,
92.0,stat,Year FE,m1,Yes,,,,,
92.0,stat,Year FE,m2,Yes,,,,,
93.0,stat,Two-way clustered SE,m1,Yes,,,,,
93.0,stat,Two-way clustered SE,m2,Yes,,,,,
94.0,stat,Observations,m1,261,,,,,
94.0,stat,Observations,m2,261,,,,,
