year,hpi_growth,L1_net_migration_rate,L1_air_growth,L1_gdp_pc_growth,L1_unemployment_rate,L1_inflation_hicp,L1_long_rate,L1_pop_growth,L1_origin_gdp_pc_ppp_const_wavg_log,L1_share_group_LATAM_CARIB,L1_share_group_EU_EEA_CH_UK,L1_share_group_MENA,hpi_growth_is_nonmissing,L1_net_migration_rate_is_nonmissing,L1_air_growth_is_nonmissing,L1_gdp_pc_growth_is_nonmissing,L1_unemployment_rate_is_nonmissing,L1_inflation_hicp_is_nonmissing,L1_long_rate_is_nonmissing,L1_pop_growth_is_nonmissing,L1_origin_gdp_pc_ppp_const_wavg_log_is_nonmissing,L1_share_group_LATAM_CARIB_is_nonmissing,L1_share_group_EU_EEA_CH_UK_is_nonmissing,L1_share_group_MENA_is_nonmissing
1949,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1950,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1951,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1952,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1953,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1954,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1955,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1956,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1957,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1958,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1959,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1960,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
1961,,,,,,3.046592778327,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0
1962,,,,4.6886685469465,,1.54899696989872,,0.805085263650629,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1963,,,,5.84786324336453,,2.66206417934763,,0.721622435848292,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1964,,,,5.44729290567632,,2.02158272759789,,0.403565948731515,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1965,,,,6.25179936615422,,3.44489848222768,,0.0554641622745771,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1966,,,,7.90812760757169,,3.42492777745566,,-0.407786764016639,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1967,,,,4.86574897554198,,5.03926721858183,,-0.754120303282112,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1968,,,,8.22880539130344,,5.52647600753092,,-0.634300161386171,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1969,,,,9.34210183782854,,6.08136171148615,,-0.427640384149605,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1970,,,,3.04129305411686,,8.7827710555412,,-0.897396122779751,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1971,,,,10.0851834778038,,6.38014449001673,,-0.886270250512273,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1972,,,,7.08408408469133,,11.9468983654056,,-0.423397124354385,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1973,,,,8.18248010947717,,10.6633559759477,,-0.154288053208668,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1974,,,,11.1662803378951,,12.9746085239333,,0.0309322603347991,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1975,,,,-0.25816587660951,,25.0827778589527,,1.3948780479403,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1976,,,,-7.91460726088667,,15.2716857518483,,3.80041403952037,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1977,,,,3.90271245992484,,21.1419048031955,,2.8440967172144,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1978,,,,4.48728836961585,,31.0167490988807,,1.06175496688687,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1979,,,,1.71258964144343,,21.0387723599382,,1.07895655527658,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1980,,,,4.51254289525151,,21.8992248062015,,1.07199361183604,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1981,,,,3.46437141035155,,15.8674803836094,,1.08143206705044,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1982,,,,0.740801365102755,,19.0404107466915,,0.867080703431986,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1983,,,,1.51289308675764,,21.6792837277095,,0.611332101414692,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1984,,,,-0.635201606910073,,24.0027623802917,,0.463965043811485,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1985,,,,-2.25657884652966,,28.3846388897103,,0.384553079813775,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1986,,,,2.5266056975684,,19.4614100078696,,0.273538751901793,,,,,0,0,0,1,0,1,0,1,0,0,0,0
1987,,,,4.04627903442302,,12.3313334897219,15.76,0.0909537577185482,,,,,0,0,0,1,0,1,1,1,0,0,0,0
1988,,,,6.41006270883734,,9.63483186245753,15.12,-0.0269454386407305,,,,,0,0,0,1,0,1,1,1,0,0,0,0
1989,,,,7.60090253128074,,10.1016321152266,14.15,-0.103951995334113,,,,,0,0,0,1,0,1,1,1,0,0,0,0
1990,,,,6.59607162191102,,12.6863036456149,14.94,-0.145920470784671,,,,,0,0,0,1,0,1,1,1,0,0,0,0
1991,,,,4.17732882710808,,13.6305705693074,15.4,-0.217948479672573,,,,,0,0,0,1,0,1,1,1,0,0,0,0
1992,,,,4.60903326381703,3.919,11.8494841773675,14.54,-0.230481754329704,,,,,0,0,0,1,1,1,1,1,0,0,0,0
1993,,,,1.1681037872908,3.985,9.55926033177508,13.83,-0.0777492667122609,,,,,0,0,0,1,1,1,1,1,0,0,0,0
1994,,,,-2.16302137348492,5.301,6.78377994665407,9.77,0.122316595483017,,,,,0,0,0,1,1,1,1,1,0,0,0,0
1995,,,25.416412490252682,0.693517750119014,6.709,5.42044019241626,10.48,0.269089467950249,,,,,0,0,1,1,1,1,1,1,0,0,0,0
1996,,,6.56109731619523,3.92237331178322,7.064,4.22281614099486,11.47,0.346203938301886,,,,,0,0,1,1,1,1,1,1,0,0,0,0
1997,,,1.5754626658107895,3.11580522976421,7.298,2.9,8.56,0.375996187340096,,,,,0,0,1,1,1,1,1,1,0,0,0,0
1998,,,5.6314700931462625,3.93579786843061,6.571,1.9,6.36,0.446460604971181,,,,,0,0,1,1,1,1,1,1,0,0,0,0
1999,,,12.015094772681678,4.27961126929266,4.64,2.2,4.88,0.505389233382722,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2000,,,8.927191324413286,3.3205096130955,4.579,2.2,4.78,0.565630442435222,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2001,,,26.787482244603922,3.08905313202446,3.806,2.8,5.59,0.702859953319024,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2002,,,-12.279849952429345,1.22726326221765,3.829,4.4,5.16,0.705230637323876,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2003,,,0.4191133124304969,0.220543241020806,4.497,3.7,5.01,0.547667939660689,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2004,,,2.026365153158949,-1.30174193891358,6.132,3.2,4.18,0.375411414855816,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2005,,,3.7838294787988502,1.54561995012715,6.319,2.5,4.14,0.239128989611917,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2006,,,9.576318780549897,0.595038072485551,7.582,2.1,3.44,0.185532266654625,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2007,,,8.295173854898863,1.44193756415369,7.649,3.0,3.91,0.18033244147767,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2008,,,9.923229718807036,2.30555184529184,7.965,2.4,4.42,0.196304384487306,,,,,0,0,1,1,1,1,1,1,0,0,0,0
2009,-0.9,,3.4609711545659394,0.174699975144293,7.553,2.7,4.52,0.144191279853498,8.9536731957808,0.017034347947500698,,0.02429488969561575,1,0,1,1,1,1,1,1,1,1,0,1
2010,0.8,,-4.3276732986413435,-3.21438882343172,11.2,-0.9,4.21,0.0953308592370666,,,,,1,0,1,1,1,1,1,1,0,0,0,0
2011,-4.9,,6.498286223137129,1.69092747575826,12.6,1.4,5.4,0.0459100367184907,,,,,1,0,1,1,1,1,1,1,0,0,0,0
2012,-7.1,,6.9208886958954,-1.56885655182528,13.5,3.6,10.24,-0.147084878575482,,,,,1,0,1,1,1,1,1,1,0,0,0,0
2013,-1.9,,2.1754163626333423,-3.66111452137058,16.6,2.8,10.55,-0.405421787747567,,,,,1,0,1,1,1,1,1,1,0,0,0,0
2014,4.2,-3.4,5.211550970918921,-0.439198387971658,17.2,0.4,6.29,-0.548815210952228,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2015,3.1,-2.5,9.215369143010577,1.3,14.6,-0.2,3.75,-0.539190466792077,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2016,7.1,-0.3,10.057681198235358,2.0,13.0,0.5,2.42,-0.4699898229699073,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2017,9.2,-0.1,12.818394009345369,2.3,11.5,0.6,3.17,-0.2558989629502406,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2018,10.3,1.4,15.25020300333857,3.5,9.2,1.6,3.05,-0.23247210589829592,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2019,10.0,2.3,6.782383737303377,3.0,7.2,1.2,1.84,-0.08421562947091843,,,,,1,1,1,1,1,1,1,1,0,0,0,0
2020,8.8,6.5,7.528646928988181,2.5,6.6,0.3,0.76,-0.02200368420588461,,,,,1,1,1,1,1,1,1,1,0,0,0,0
