country,period_str,quarter_end,country_period_ret,n_days,avg_n_tickers,min_n_tickers,max_n_tickers,country_period_ret_pct
AT,2000Q1,2000-03-31,0.016129154941667556,64.0,1.0,1.0,1.0,1.6129154941667556
AT,2000Q2,2000-06-30,6.661338147750939e-16,65.0,1.0,1.0,1.0,6.661338147750939e-14
AT,2000Q3,2000-09-30,0.01777769698032583,65.0,1.0,1.0,1.0,1.777769698032583
AT,2000Q4,2000-12-31,0.016843405917956522,65.0,1.0,1.0,1.0,1.6843405917956522
AT,2001Q1,2001-03-31,0.013496897015638387,65.0,1.0,1.0,1.0,1.3496897015638387
AT,2001Q2,2001-06-30,0.008474822034628016,65.0,1.0,1.0,1.0,0.8474822034628016
AT,2001Q3,2001-09-30,0.01560617776925044,65.0,1.0,1.0,1.0,1.560617776925044
AT,2001Q4,2001-12-31,0.016548276664517747,66.0,1.0,1.0,1.0,1.6548276664517747
AT,2002Q1,2002-03-31,0.013372107825526003,64.0,1.0,1.0,1.0,1.3372107825526003
AT,2002Q2,2002-06-30,0.015490629842264125,65.0,1.0,1.0,1.0,1.5490629842264125
AT,2002Q3,2002-09-30,0.0016948433940380259,66.0,1.0,1.0,1.0,0.1694843394038026
AT,2002Q4,2002-12-31,0.01692039090445263,66.0,1.0,1.0,1.0,1.6920390904452631
AT,2003Q1,2003-03-31,0.020521489735206178,64.0,1.0,1.0,1.0,2.0521489735206178
AT,2003Q2,2003-06-30,0.03315205728146964,65.0,1.0,1.0,1.0,3.315205728146964
AT,2003Q3,2003-09-30,-0.003156198606314553,66.0,1.0,1.0,1.0,-0.3156198606314553
AT,2003Q4,2003-12-31,0.007915726228749698,66.0,1.0,1.0,1.0,0.7915726228749698
AT,2004Q1,2004-03-31,0.012565205463345386,65.0,1.0,1.0,1.0,1.2565205463345386
AT,2004Q2,2004-06-30,0.01602921415309866,65.0,1.0,1.0,1.0,1.6029214153098659
AT,2004Q3,2004-09-30,0.007124411053003987,66.0,1.0,1.0,1.0,0.7124411053003987
AT,2004Q4,2004-12-31,0.013138181976704244,66.0,1.0,1.0,1.0,1.3138181976704244
AT,2005Q1,2005-03-31,0.014463817728063377,64.0,1.0,1.0,1.0,1.4463817728063377
AT,2005Q2,2005-06-30,0.005489381947464622,65.0,1.0,1.0,1.0,0.5489381947464622
AT,2005Q3,2005-09-30,0.03720028724988289,66.0,1.0,1.0,1.0,3.720028724988289
AT,2005Q4,2005-12-31,-0.0055571210107860924,65.0,1.0,1.0,1.0,-0.5557121010786092
AT,2006Q1,2006-03-31,0.009501494674954536,65.0,1.0,1.0,1.0,0.9501494674954536
AT,2006Q2,2006-06-30,0.004471875981237439,65.0,1.0,1.0,1.0,0.44718759812374387
AT,2006Q3,2006-09-30,0.017370861582452157,65.0,1.0,1.0,1.0,1.7370861582452157
AT,2006Q4,2006-12-31,0.020304677658919967,62.0,1.0,1.0,1.0,2.0304677658919967
AT,2007Q1,2007-03-31,0.1302576911983866,64.0,1.0,1.0,1.0,13.02576911983866
AT,2007Q2,2007-06-30,-0.12725104081765015,59.0,1.0,1.0,1.0,-12.725104081765014
AT,2007Q3,2007-09-30,-0.14763864382108294,64.0,1.0,1.0,1.0,-14.763864382108293
AT,2007Q4,2007-12-31,-0.17697685650479578,60.0,1.0,1.0,1.0,-17.697685650479578
AT,2008Q1,2008-03-31,-0.11633965601429341,62.0,1.0,1.0,1.0,-11.633965601429342
AT,2008Q2,2008-06-30,-0.015532725489780908,62.0,1.0,1.0,1.0,-1.5532725489780908
AT,2008Q3,2008-09-30,-0.4815927327050675,65.0,1.0,1.0,1.0,-48.15927327050675
AT,2008Q4,2008-12-31,-0.39130435956847176,61.0,1.0,1.0,1.0,-39.13043595684718
AT,2009Q1,2009-03-31,-0.13809533528544082,62.0,1.0,1.0,1.0,-13.809533528544083
AT,2009Q2,2009-06-30,0.6298346708055258,60.0,1.0,1.0,1.0,62.98346708055258
AT,2009Q3,2009-09-30,0.4983047924504862,66.0,1.0,1.0,1.0,49.83047924504862
AT,2009Q4,2009-12-31,-0.10633470212562068,61.0,1.0,1.0,1.0,-10.633470212562068
AT,2010Q1,2010-03-31,0.13544295959413155,62.0,1.0,1.0,1.0,13.544295959413155
AT,2010Q2,2010-06-30,-0.045485070522255255,60.0,1.0,1.0,1.0,-4.548507052225526
AT,2010Q3,2010-09-30,0.22050906521851354,66.0,1.0,1.0,1.0,22.050906521851353
AT,2010Q4,2010-12-31,0.139712856117858,61.0,1.0,1.0,1.0,13.971285611785799
AT,2011Q1,2011-03-31,0.09152004313470763,63.0,1.0,1.0,1.0,9.152004313470762
AT,2011Q2,2011-06-30,-0.03692321387499875,60.0,1.0,1.0,1.0,-3.692321387499875
AT,2011Q3,2011-09-30,-0.26916944011145394,65.0,1.0,1.0,1.0,-26.916944011145393
AT,2011Q4,2011-12-31,-0.09431677203005528,60.0,1.0,1.0,1.0,-9.431677203005528
AT,2012Q1,2012-03-31,0.03463246928778596,64.0,1.0,1.0,1.0,3.463246928778596
