country,ticker,name,first_date,last_date,n_price_obs,n_return_obs
AT,CAI.VI,CA Immobilien Anlagen AG,2000-01-03,2026-03-13,6624,6623
BE,AED.BR,Aedifica SA,2006-10-23,2026-03-13,4959,4958
BE,COFB.BR,Cofinimmo SA,2000-01-04,2026-03-13,6733,6732
BE,WDP.BR,Warehouses De Pauw NV,2001-10-09,2026-03-13,6273,6272
BE,XIOR.BR,Xior Student Housing NV,2015-12-11,2026-03-13,2624,2623
CH,ALLN.SW,Allreal Holding AG,2000-03-03,2026-03-13,6606,6605
CH,HIAG.SW,HIAG Immobilien Holding AG,2014-05-16,2026-03-13,2971,2970
CH,PSPN.SW,PSP Swiss Property AG,2001-09-03,2026-03-13,6215,6214
CH,SPSN.SW,Swiss Prime Site AG,2000-01-04,2026-03-13,6649,6648
DE,DWNI.DE,DTAG? Deutsche Wohnen AG (historic),2006-07-03,2026-03-13,5003,5002
DE,LEG.DE,LEG Immobilien SE,2013-07-08,2026-03-13,3220,3219
DE,TEG.DE,TAG Immobilien AG,2000-10-09,2026-03-13,6495,6494
DE,VNA.DE,Vonovia SE,2013-07-11,2026-03-13,3217,3216
ES,COL.MC,Inmobiliaria Colonial SOCIMI SA,2002-05-15,2026-03-13,6110,6109
ES,MRL.MC,Merlin Properties SOCIMI SA,2014-06-30,2026-03-13,2996,2995
FI,CTY1S.HE,Citycon Oyj,2000-01-03,2026-03-13,6650,6649
FI,KOJAMO.HE,Kojamo Oyj,2018-06-15,2026-03-13,1945,1944
FR,ARG.PA,Argan SA,2007-06-25,2026-03-13,4791,4790
FR,COV.PA,Covivio SA,2000-01-03,2026-03-13,6732,6731
FR,GFC.PA,Gecina SA,2000-01-03,2026-03-13,6732,6731
FR,ICAD.PA,Icade SA,2000-01-03,2026-03-13,6732,6731
IE,GL9.IR,Glenveagh Properties plc,2000-01-04,2026-03-13,6698,6697
IE,IRES.IR,Irish Residential Properties REIT plc,2014-04-16,2026-03-13,3027,3026
IT,BNS.MI,Beni Stabili SIIQ SpA (historic),2000-01-03,2018-12-28,4722,4721
IT,IGD.MI,IGD SIIQ SpA,2005-02-11,2026-03-13,5359,5358
NL,NSI.AS,NSI NV,2000-01-03,2026-03-13,6737,6736
NL,WHA.AS,Wereldhave NV,2006-10-10,2026-03-13,4971,4970
NO,ENTRA.OL,Entra ASA,2014-10-17,2026-03-13,2863,2862
NO,OLT.OL,Olav Thon Eiendomsselskap ASA,2000-01-03,2026-02-10,6621,6620
PL,ECH.WA,Echo Investment SA,2000-01-03,2026-03-13,6738,6737
PL,GTC.WA,Globe Trade Centre SA,2004-05-06,2026-03-12,5604,5603
SE,BALD-B.ST,Fastighets AB Balder B,2000-01-03,2026-03-13,6648,6647
SE,CAST.ST,Castellum AB,2000-01-03,2026-03-13,6648,6647
SE,FABG.ST,Fabege AB,2002-06-10,2026-03-13,6013,6012
SE,SBB-B.ST,Samhallsbyggnadsbolaget i Norden AB B,2010-04-01,2026-03-13,4008,4007
SE,WIHL.ST,Wihlborgs Fastigheter AB,2002-06-10,2026-03-13,6013,6012
UK,BLND.L,British Land Company plc,2000-01-03,2026-03-13,6669,6668
UK,HMSO.L,Hammerson plc,2000-01-03,2026-03-13,6669,6668
UK,LAND.L,Land Securities Group plc,2000-01-03,2026-03-13,6669,6668
UK,SAFE.L,Safestore Holdings plc,2007-03-09,2026-03-13,4804,4803
UK,SGRO.L,Segro plc,2000-01-03,2026-03-13,6669,6668
